id,song_spotify,artist_spotify,album,release_date,popularity
3xYJScVfxByb61dYHTwiby,Hits Different,Taylor Swift,Midnights (The Til Dawn Edition),2023-05-26,78
03yFQxAIxAqv7dS3RfViux,Pelle Coat,Lil Durk,Pelle Coat,2023-05-25,51
59jxR9KB6fZ0ncEntDYAfO,War,Badboi Jay,War,2024-02-10,28
1vYXt7VSjH9JIM5oRRo7vA,Dance The Night - From Barbie The Album,Dua Lipa,Dance The Night (From Barbie The Album),2023-05-25,88
6f8wbdo8KU5ETWJA7lapgS,BYE,Peso Pluma,GÉNESIS,2023-06-29,73
4fbXBeVeqzZ0SmJQcWm4St,Never Imagined (feat. Future),Lil Durk,Almost Healed,2023-05-26,53
45ei5A1TycXr9ZsWaFZiuT,Never Again,Lil Durk,Almost Healed,2023-05-26,51
65iyYuAIuhttMaYvHQnonf,Pound Town 2 (feat. Nicki Minaj & Tay Keith),Sexyy Red,Hood Hottest Princess,2023-06-09,66
7CSxAriQKhvmM7Bu12fm5e,Big Dawg (feat. Chief Wuk),Lil Durk,Almost Healed,2023-05-26,65
7ljakTwozJualWCeVuHkCa,Cross The Line,Jacquees,King of R&B,2019-11-08,43
1Q33JSvyx8OTTwafwCNVl8,Put Em On Ice,Lil Durk,Almost Healed,2023-05-26,51
3vk9ndnZ0Zjrthm1E7kaNa,300 Urus,Lil Durk,Almost Healed,2023-05-26,51
6ALiIRPSgKaMRu5PDBZvN8,Sad Songs,Lil Durk,Almost Healed,2023-05-26,51
7clyJIrLkEbXUDwj1tC9zz,Blood // Water,grandson,a modern tragedy vol. 1,2018-06-15,68
6po54wKTw6h8H3KnLmcEC7,Before Fajr,Lil Durk,Almost Healed,2023-05-26,50
7cP6kjAIJtIN1zyV5Q0kA9,B12,Lil Durk,Almost Healed,2023-05-26,54
1kXlRnMZ8nvUuCYkfxn7iw,You Got Em,Lil Durk,Almost Healed,2023-05-26,49
7ro0hRteUMfnOioTFI5TG1,WHERE SHE GOES,Bad Bunny,WHERE SHE GOES,2023-05-18,80
368eeEO3Y2uZUQ6S5oIjcu,TQM,Fuerza Regida,TQM,2023-05-19,79
0gWrMbx6pbdH3n3nsLjE55,Mourning,Post Malone,Mourning,2023-05-19,70
6GGtHZgBycCgGBUhZo81xe,Say Yes To Heaven,Lana Del Rey,Say Yes To Heaven,2023-05-19,87
2f86Ae3R4OKAu1lEIqouih,"To Summer, From Cole - Audio Hug",Summer Walker,CLEAR 2: SOFT LIFE EP,2023-05-19,74
1vvcEHQdaUTvWt0EIUYcFK,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",Kodak Black,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) [Trailer Version]",2023-05-17,70
2xPV95cfbyusygMTxpa3SW,You,Dan + Shay,Good Things,2021-08-13,61
3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,David Guetta,Baby Don't Hurt Me,2023-04-06,85
6HgWWaMu31KdOpEG5l28BG,All My Life (feat. J. Cole),Lil Durk,All My Life (feat. J. Cole),2023-05-12,75
3EN9CgupFLmuwmHYUPq0ny,Bitch Let's Do It,YoungBoy Never Broke Again,Richest Opp,2023-05-12,68
2bSk87AVkCIIC3Bcligq1z,Life Goes On,Lil Baby,Harder Than Ever,2018-05-18,76
7txjUEY6McJDJKqIo1Rxjp,Acróstico - Milan + Sasha,Shakira,Acróstico (Milan + Sasha),2023-05-11,73
4EKH0ajMHXTkq4ztWuztVH,Bury Me in Georgia,Kane Brown,Different Man,2022-09-09,62
5leAk8qQS6HGWwEvpyWSqd,Fuck The Industry Pt. 2,YoungBoy Never Broke Again,Richest Opp,2023-05-12,56
0ENB9P6WtUEKYjQ3dKnK23,Everything She Ain’t,Hailey Whitters,Raised,2022-03-18,66
7ETjhPaIU4UmHOiimJBZz9,Your Heart Or Mine,Jon Pardi,Mr. Saturday Night,2022-09-02,77
4s2SSnOOVF3FtgcxNx6fFk,I Heard,YoungBoy Never Broke Again,Richest Opp,2023-05-12,53
7sliFe6W30tPBPh6dvZsIH,Area Codes,Kaliii,Area Codes,2023-03-17,77
1IzJxbARcQrOWMZgPw1PNj,Go Hard,Lil Baby,Go Hard,2023-05-03,69
0bILU0UiNDmA5Ff6whhb2R,Religiously,Bailey Zimmerman,Religiously. The Album.,2023-01-11,81
1VsHc0qIeyjYOyvN5HIEQG,Mejor Que Yo,Anuel AA,Mejor Que Yo,2023-05-04,66
6gcuJpHu0Ey30D5WR76y98,You & Me,JENNIE,JENNIE Special Single [You & Me],2023-10-06,75
0Ymjv0OJeIIPXr6s9wi3iW,MATHEMATICAL DISRESPECT,Lil Mabu,MATHEMATICAL DISRESPECT,2023-05-05,74
3FhZPYvMGSjFc6boVYKlCv,SHAKE SUMN,DaBaby,CALL DA FIREMAN,2023-05-05,68
6ZZf5a8oiInHDkBe9zXfLP,Curtains,Ed Sheeran,- (Deluxe),2023-05-05,65
73RbfOTJIjHzi2pcVHjeHM,What It Is (Solo Version),Doechii,What It Is (Versions),2023-03-17,78
2dSKFFNoNXKo3hPnlwUdPe,They Don't Love It,Jack Harlow,Jackman.,2023-04-28,69
33hQJTNI0T2FHVtku3smJf,Wreckage,Nate Smith,Wreckage,2022-11-18,60
4inPxqHrj9VmjLx5JCDCV4,Waffle House,Jonas Brothers,The Album,2023-05-12,72
26b3oVLrRUaaybJulow9kz,People,Libianca,People,2022-12-06,82
2OZfJcpzSFApBxUA0gXuJz,Common Ground,Jack Harlow,Jackman.,2023-04-28,60
4VMRsbfZzd3SfQtaJ1Wpwi,Double Fantasy (with Future),The Weeknd,Double Fantasy,2023-04-21,75
7kOletJ0Q5H4MWe7cfeZXP,Alone (with Nicki Minaj),Kim Petras,Alone,2023-04-21,63
4bjN59DRXFRxBE1g5ne6B1,Haegeum,Agust D,D-DAY,2023-04-21,83
4JdSXF2p71cr8uCY3UiJM0,Frágil,Yahritza Y Su Esencia,Frágil,2023-04-07,76
5dT8SEE6yaZMGn16u6FI9R,Big Truck,YoungBoy Never Broke Again,Don't Try This At Home,2023-04-21,56
0ZxhtATQ0a6EvQNZ0z6NKV,Princess Diana (with Nicki Minaj),Ice Spice,Princess Diana (with Nicki Minaj),2023-04-14,76
5w40ZYhbBMAlHYNDaVJIUu,Chemical,Post Malone,Chemical,2023-04-14,82
6pD0ufEQq0xdHSsRbg9LBK,un x100to,Grupo Frontera,un x100to,2023-04-17,81
1odExI7RdWc4BT515LTAwj,Daylight,David Kushner,Daylight,2023-04-14,91
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),"Tyler, The Creator",Flower Boy,2017-07-21,89
5RcxRGvmYai7kpFSfxe5GY,CHANEL,Becky G,CHANEL,2023-03-30,73
17js0w8GTkTUFGFM6PYvBd,Igualito a Mi Apá,Fuerza Regida,Pa Que Hablen,2022-12-30,81
3J6d00TsKXTJV9zSJwEOd9,Di Que Sí,Grupo Marca Registrada,Don't Stop The Magic,2023-05-12,72
4aSRUXfKuBbmje0eXNukuL,It Matters To Her,Scotty McCreery,Same Truck,2021-09-17,64
7aRCf5cLOFN1U7kvtChY1G,Search & Rescue,Drake,Search & Rescue,2023-04-07,78
3ZEno9fORwMA1HPecdLi0R,HAPPY,NF,HOPE,2023-04-07,75
7iTTWHbr4tAlsRJN4m4bay,Strike (Holster),Lil Yachty,Strike (Holster),2023-04-07,70
4w9soAM7IrmYDhSXLp14p6,Peaches,Jack Black,The Super Mario Bros. Movie (Original Motion Picture Soundtrack),2023-04-07,71
7FET9gtiECWn7llt0sfvtU,CAREFUL,NF,HOPE,2023-04-07,69
1haJsMtoBhHfvuM7XWuT3W,El Azul,Junior H,El Azul,2023-02-10,84
2NbsBSshscKIPRG3kwBbfo,Never Felt So Alone,Labrinth,Never Felt So Alone,2023-04-07,72
0gn93i7HJt0calph67R5Wu,WTF (feat. Amber Van Day),HUGEL,WTF (feat. Amber Van Day),2018-11-30,64
4aA7Lrm6rLGHx5kRMVb7NU,Fight The Feeling,Rod Wave,Nostalgia,2023-09-15,70
410ZZP746AQeiywhKvXWCo,SORRY NOT SORRY,"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,2023-03-31,71
6wmKvtSmyTqHNo44OBXVN1,VOID,Melanie Martinez,PORTALS,2023-03-30,64
07on0OB2cdPt79IFsgdRUy,Need A Favor,Jelly Roll,Whitsitt Chapel,2023-06-02,80
5F1mZMG9gjMxrpX4GWWaBK,W T F (What the Freak),Laurie Miller,W T F (What the Freak),2022-01-21,25
2RkMSIqUdveO3p8KVpYBYI,I Know,Kanii,I Know,2023-03-10,61
31yydnZnSeCwkRPY7tlgQJ,Hot Boy (feat. Lil Baby),Nardo Wick,Hot Boy (feat. Lil Baby),2023-03-31,64
3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,Jimin,FACE,2023-03-24,91
3p7XQpdt8Dr6oMXSvRZ9bg,Eyes Closed,Ed Sheeran,- (Deluxe),2023-05-05,80
1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,Luke Combs,Gettin' Old,2023-03-24,87
609E1JCInJncactoMmkDon,BESO,ROSALÍA,RR,2023-03-24,82
7rl489EKnUgITmkBd6P9zi,Don't Play With It (feat. Latto & Yung Miami) - Remix,Lola Brooke,Don't Play With It (feat. Latto & Yung Miami) [Remix],2023-03-24,50
6OfOzTitafSnsaunQLuNFw,DOGTOOTH,"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,2023-03-31,74
6j5BK1cFX9TjJd5EXHGgAn,The Light,Juice WRLD,The Light,2023-03-23,67
0UbesRsX2TtiCeamOIVEkp,Ch y la Pizza,Fuerza Regida,Pa Que Hablen,2022-12-30,80
5kB6WithhB8Iv08EMNmAbt,Memory Lane,Old Dominion,Memory Lane,2023-01-05,69
4P9Q0GojKVXpRTJCaL3kyy,All Of The Girls You Loved Before,Taylor Swift,All Of The Girls You Loved Before,2019-08-23,80
7tl5FUIgREcrcJZyrdt4DX,Ella Baila Sola - Eslabon Armado x Peso Pluma - Instrumental Guitarra Eléctrica,7KINGIN,Ella Baila Sola - Eslabon Armado x Peso Pluma (Instrumental Guitarra Eléctrica),2023-06-09,9
59hBR0BCtJsfIbV9VzCVAp,Set Me Free Pt.2,Jimin,Set Me Free Pt.2,2023-03-17,80
52ChYmfu792MW2Ezv0whpk,5 Leaf Clover,Luke Combs,Gettin' Old,2023-03-24,73
2Jw3VjB1xy5KHBqEeAC6VK,Eat Your Young,Hozier,Eat Your Young,2023-03-17,66
596qBkNP4ezd84Y2mqL2tM,La Bebe - David Guetta Remix,Yng Lvcas,XXL Latin Hits,2023-10-20,0
3kf0WdFOalKWBkCCLJo4mA,El Gordo Trae El Mando,Chino Pacas,El Gordo Trae El Mando,2023-01-27,83
0PB0O24JqAuNdOAFVJljMS,Coco Chanel,Eladio Carrion,3MEN2 KBRN,2023-03-17,80
3tpI98Yae25hSvhh6mitA9,ICU,Coco Jones,What I Didn’t Tell You (Deluxe),2023-01-20,68
2i2gDpKKWjvnRTOZRhaPh2,Moonlight,Kali Uchis,Moonlight,2023-02-24,80
0pwnoUhy57HdGjj1zNzzNV,DEATH,Melanie Martinez,PORTALS,2023-03-31,63
0DuylJNqsvjRN9hhWUdeJZ,NASTY,Russ,NASTY,2023-03-17,57
3yphjkz7V5xFXdfBEXVKL6,Cupid - Twin Ver.,FIFTY FIFTY,The Beginning,2023-09-22,78
1yampU2t2LNWzEsCpUgHYJ,River,Miley Cyrus,Endless Summer Vacation,2023-08-18,68
0LbZLBBZI1NfaDgb4dx0UD,Jaded,Miley Cyrus,Endless Summer Vacation,2023-08-18,74
4w1lzcaoZ1IC2K5TwjalRP,A Thousand Miles,Vanessa Carlton,Be Not Nobody,2002-04-30,79
1nSfvLVhsozMHS7rCF1BTi,Rose Colored Lenses,Miley Cyrus,Endless Summer Vacation,2023-08-18,65
6YWME4xCa5Lm6X1exVMQIC,Por Las Noches,Peso Pluma,Por Las Noches,2021-06-11,78
0PAcdVzhPO4gq1Iym9ESnK,Thinkin’ Bout Me,Morgan Wallen,One Thing At A Time,2023-03-03,87
2YVlDlk2zRceefo6XlC6DX,Ain’t That Some,Morgan Wallen,One Thing At A Time,2023-03-03,80
3fhvnn5xALwA2htzljsU1v,Red Ruby Da Sleeze,Nicki Minaj,Pink Friday 2,2023-12-08,66
73zawW1ttszLRgT9By826D,Man Made A Bar (feat. Eric Church),Morgan Wallen,One Thing At A Time,2023-03-03,82
3oZ6dlSfCE9gZ55MGPJctc,’98 Braves,Morgan Wallen,One Thing At A Time,2023-03-03,74
2PsbT927UanvyH9VprlNOu,Devil Don’t Know,Morgan Wallen,One Thing At A Time,2023-03-03,65
0JtgoDDf0ggWaoXCGhcOoT,Sunrise,Morgan Wallen,One Thing At A Time,2023-03-03,74
1BAU6v0fuAV914qMUEESR1,Born With A Beer In My Hand,Morgan Wallen,One Thing At A Time,2023-03-03,67
2ewSCWOL7EAjgmgqfI1UlS,Whiskey Friends,Morgan Wallen,One Thing At A Time,2023-03-03,68
5NzfnUyVaNrxa2VtoyBWlR,Tennessee Numbers,Morgan Wallen,One Thing At A Time,2023-03-03,64
7fveJ3pk1eSfxBdVkzdXZ0,Cowgirls (feat. ERNEST),Morgan Wallen,One Thing At A Time,2023-03-03,83
2Ej3iV0nulryy9S3UQvjSx,Hope That’s True,Morgan Wallen,One Thing At A Time,2023-03-03,64
4kvjThnfQIsPOKjxx0aZDu,Dying Man,Morgan Wallen,One Thing At A Time,2023-03-03,68
1vcJdUJDM2NVXBsGncmLyh,Keith Whitley,Morgan Wallen,One Thing At A Time,2023-03-03,64
2aw1aEAxMe05MZIS5XiK8U,In The Bible (feat. HARDY),Morgan Wallen,One Thing At A Time,2023-03-03,68
1GiwvmI57OTGcKGNigZFJb,Neon Star (Country Boy Lullaby),Morgan Wallen,One Thing At A Time,2023-03-03,68
68eDGmSTQgxJde9JTG7b71,Me + All Your Reasons,Morgan Wallen,One Thing At A Time,2023-03-03,67
7u2iWRkkz8GBYFe4apxVBl,I Deserve A Drink,Morgan Wallen,One Thing At A Time,2023-03-03,70
77kye8TttXpEbvgoiVjZdo,F150-50,Morgan Wallen,One Thing At A Time,2023-03-03,65
12BjylmI6NS7ydikIzbuD0,Single Than She Was,Morgan Wallen,One Thing At A Time,2023-03-03,66
0oPRfdP48RM4bd3xBFyiRo,Wine Into Water,Morgan Wallen,One Thing At A Time,2023-03-03,65
5wxYxygyHpbgv0EXZuqb9V,on the street (with J. Cole),j-hope,on the street (with J. Cole),2023-03-03,73
4Q6LSSmQwn94hioXfvzdbU,180 (Lifestyle),Morgan Wallen,One Thing At A Time,2023-03-03,69
3NsqLy0x8l9VyNfOHQTNHs,Last Drive Down Main,Morgan Wallen,One Thing At A Time,2023-03-03,65
5LisHkYlpdkqNYl1HZ5cKd,Good Girl Gone Missin’,Morgan Wallen,One Thing At A Time,2023-03-03,68
3CqT9ajcy6pY7TonEPiV4H,Me To Me,Morgan Wallen,One Thing At A Time,2023-03-03,67
09UUDUFaudMcUkocm2iqR8,Money On Me,Morgan Wallen,One Thing At A Time,2023-03-03,62
5sUjBX08aJ1XdMw7p2SXgq,Had It,Morgan Wallen,One Thing At A Time,2023-03-03,62
3uKJ1sSJXGLCMItH0YNPkh,Outlook,Morgan Wallen,One Thing At A Time,2023-03-03,64
0DWdj2oZMBFSzRsi2Cvfzf,TQG,KAROL G,MAÑANA SERÁ BONITO,2023-02-24,86
6pLDMsO0kltAvK32e5raLu,Kant Nobody (feat. DMX),Lil Wayne,Tha Fix Before Tha VI (Bonus),2023-09-29,6
6otePxalBK8AVa20xhZYVQ,MIENTRAS ME CURO DEL CORA,KAROL G,MAÑANA SERÁ BONITO,2023-02-24,84
3CNbrXrUrEARw8zeKNCdYo,GUCCI LOS PAÑOS,KAROL G,MAÑANA SERÁ BONITO,2023-02-24,75
52NGJPcLUzQq5w7uv4e5gf,Private Landing (feat. Justin Bieber & Future),Don Toliver,Love Sick,2023-02-24,81
3gOI5aQD4mOMLsP3aWrkon,TUS GAFITAS,KAROL G,MAÑANA SERÁ BONITO,2023-02-24,73
7qPiAhk71D2RqLRtnjDL76,No morë talk,Yeat,AftërLyfe,2023-02-24,64
3HqGDrSOZ6LbBfX5EsiaAj,Split,Yeat,AftërLyfe,2023-02-24,65
16dUQ4quIHDe4ZZ0wF1EMN,CAIRO,KAROL G,MAÑANA SERÁ BONITO,2023-02-24,80
2fpTRcMLt4aKlqULOwuXUP,Shmunk (feat. YoungBoy Never Broke Again),Yeat,AftërLyfe,2023-02-24,56
1dw7qShk971xMD6r6mA4VN,PERO TÚ,KAROL G,MAÑANA SERÁ BONITO,2023-02-24,77
1iQxvF3AQ7Bs3RTBuXqZOA,Dirt,Key Glock,Dirt,2023-02-22,47
0kPhTGl84wcSzdTareTroP,Joe,Luke Combs,Gettin' Old,2023-03-24,60
5yAIrkplUEpMNeojW8Q30o,OJOS FERRARI,KAROL G,MAÑANA SERÁ BONITO,2023-02-24,71
7eTv2OTr3aY5iKtFdBusoA,BESTIES,KAROL G,MAÑANA SERÁ BONITO,2023-02-24,72
4bycD60yZgR6anIBtmU8UH,MAÑANA SERÁ BONITO,KAROL G,MAÑANA SERÁ BONITO,2023-02-24,75
6VYAzAQGFsfEAwdorQaZuU,Die 4 Me,Halsey,Die 4 Me,2023-02-24,62
12cZWGf5ZgLcKubEW9mx5q,HOPE,NF,HOPE,2023-02-16,70
1SRw5p2lVAi7RGlHEmZg66,Favorite Song,Toosii,Favorite Song,2023-02-17,71
0FA4wrjDJvJTTU8AepZTup,Watch This - ARIZONATEARS Pluggnb Remix,Lil Uzi Vert,Watch This (ARIZONATEARS Pluggnb Remix),2023-02-05,80
5FQ77Cl1ndljtwwImdtjMy,Heaven,Niall Horan,The Show,2023-06-09,76
4MUlNqSrMeFAHA6VpJKMo8,No Time Wasted (feat. Future),Polo G,No Time Wasted (feat. Future),2023-02-17,58
2L9N0zZnd37dwF0clgxMGI,ceilings,Lizzy McAlpine,five seconds flat,2022-04-08,84
1JUtrCqYzJ80tcAzMbCvir,Lottery (feat. LU KALA),Latto,Lottery (feat. LU KALA),2023-02-17,66
4FWbsd91QSvgr1dSWwW51e,TRUSTFALL,P!nk,TRUSTFALL,2023-01-27,73
5BmB3OaQyYXCqRyN8iR2Yi,SLUT ME OUT,NLE Choppa,SLUT ME OUT,2022-04-22,75
4iy69rTUn8cAY8Q8q9vfOw,Gold,Dierks Bentley,Gold,2022-07-29,55
2kYevr8cbIAH2ha8210Bnz,Love You Anyway,Luke Combs,Gettin' Old,2023-03-24,74
2FX5HPP1FNNuLlt2UU9os7,Umbrella,Ember Island,Umbrella,2017-07-21,64
6XvCOeXCrqzsR38dU1x5IM,Lost,Linkin Park,The Rock Alternative,2024-04-19,1
1z9kQ14XBSN0r2v6fx4IdG,Diamonds,Rihanna,Unapologetic (Edited Version),2012-01-01,74
6qn9YLKt13AGvpq9jfO8py,We Found Love,Rihanna,Talk That Talk,2011-11-18,86
6RQ5IwG7uADz9LDWliJGjU,Special,SZA,SOS,2022-12-09,75
6RQ5IwG7uADz9LDWliJGjU,Special,SZA,SOS,2022-12-09,75
26YvZWW29FXHaSRQzajRYv,Fix'n To Break,Bailey Zimmerman,Religiously. The Album.,2023-01-11,61
6RGH7mvHffrBcHuW60vgZB,PAINTING PICTURES,Superstar Pride,PAINTING PICTURES,2023-03-13,72
6AQbmUe0Qwf5PZnt4HmTXv,Boy's a liar Pt. 2,PinkPantheress,Boy's a liar Pt. 2,2023-02-03,79
4NoOME4Dhf4xgxbHDT7VGe,X SI VOLVEMOS,KAROL G,MAÑANA SERÁ BONITO,2023-02-24,83
2mpoNBkngUEwnaKoBhZ0vl,PRC,Peso Pluma,PRC,2023-01-23,78
4CiVz4bw7X1zjCaJ5ZwxUS,Watch The World Burn,Falling In Reverse,Watch The World Burn,2023-01-31,74
0yUaLqhsVsguBpoOPL4cO7,In Ha Mood,Ice Spice,In Ha Mood,2023-01-06,72
4FAKtPVycI4DxoOHC01YqD,Yandel 150,Yandel,Resistencia,2023-01-13,78
59uQI0PADDKeE6UZDTJEe8,Last Night,Morgan Wallen,3 Songs At A Time Sampler,2023-01-31,82
5sZSiLaxwbQZsQSDzhwgo4,LOVE AGAIN,The Kid LAROI,THE FIRST TIME,2023-11-10,68
42TtHTxWk782ZBiqyOi2d1,Dawns (feat. Maggie Rogers),Zach Bryan,Dawns (feat. Maggie Rogers),2023-01-27,82
4w9lk0Nyj7kuDxlL5PZVlv,I Wrote The Book,Morgan Wallen,3 Songs At A Time Sampler,2023-01-31,57
0cv6mTbrqr8vxGC31NjKtM,Everything I Love,Morgan Wallen,3 Songs At A Time Sampler,2023-01-31,65
24Z0qiHUR9cTB4UfGUqCnj,Growin' Up and Gettin' Old,Luke Combs,Gettin' Old,2023-03-24,69
3i0FkJYlU4MFfYkjFHXXAM,I'm Not Here To Make Friends,Sam Smith,Gloria,2023-01-27,71
1rydhdFtKe2CRkiaVb7aGF,the BLACK seminole.,Lil Yachty,Let’s Start Here.,2023-01-27,61
6TBzRwnX2oYd8aOrOuyK1p,Fin de Semana,Oscar Maydon,Fin de Semana,2023-01-13,83
1zsPaEkglFvxjAhrM8yhpr,Hey Mor,Ozuna,OzuTochi,2022-10-07,83
6sZo5nJIsFWXefRCCexpx0,Never Gonna Not Dance Again,P!nk,Never Gonna Not Dance Again,2022-11-04,70
2KtGiBi5CrX2ERPD2PAS34,Dancin’ In The Country,Tyler Hubbard,Tyler Hubbard,2023-01-27,74
5pgPZFwKj6HND4AHh7TVvO,KNIGHT CRAWLER,Trippie Redd,MANSION MUSIK,2023-01-20,63
4q4ITrTmB4LyoNw9yjb2Ic,JACK,HARDY,the mockingbird & THE CROW,2023-01-20,64
36gcliMRX1vCpgnrZE3dFZ,10:35,Tiësto,DRIVE,2023-04-21,78
35SbrfbaSpGUBX7e5BPega,I Wish you Roses,Kali Uchis,Red Moon In Venus,2023-03-03,72
2g5q0UpOOFMNOcHGaMG4b0,Gangsta Boo (with Lil Tjay),Ice Spice,Like..?,2023-01-20,63
5IN9W6eUfk3014My9awagX,MOONLIGHT SUNRISE,TWICE,READY TO BE,2023-03-10,69
1appK6Io3nO3sSAMi2POQd,FULLY LOADED,Trippie Redd,MANSION MUSIK,2023-01-20,50
4cRR0gVpcJgWoGOGdNTz1e,KRZY TRAIN,Trippie Redd,MANSION MUSIK,2023-01-20,50
2lNTHWu2I5Tcz9ukWsV5Jj,Next Thing You Know,Jordan Davis,Next Thing You Know,2022-08-12,71
1lRtH4FszTrwwlK5gTSbXO,AMG,Natanael Cano,AMG,2022-11-24,78
5gAwpwuchaCGnJLlBMGBzp,DO IT AGAIN (feat. 2Rare),NLE Choppa,DO IT AGAIN (feat. 2Rare),2022-10-07,67
1QrL8zd8MIrCiOPuj02dxC,Back End,Finesse2tymes,Back End,2022-10-07,51
1N8TTK1Uoy7UvQNUazfUt5,SPIT IN MY FACE!,ThxSoMch,SPIT IN MY FACE!,2022-12-20,82
7DSAEUvxU8FajXtRloy8M0,Flowers,Miley Cyrus,Endless Summer Vacation,2023-08-18,92
4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",2023-01-11,82
2Q2mcoXVkioh4OBcL8mm4p,On Wat U On (with GloRilla),Moneybagg Yo,On Wat U On (with GloRilla),2023-01-12,56
6dgUya35uo964z7GZXM07g,Nonsense,Sabrina Carpenter,emails i can't send,2022-07-15,89
4NIe9Is7bN5JWyTeCW2ahK,VIBE (feat. Jimin of BTS),TAEYANG,Down to Earth,2023-04-25,68
65FftemJ1DbbZ45DUfHJXE,OMG,NewJeans,NewJeans 'OMG',2023-01-02,82
5AihIu9yF3flkw1jFMyfwW,Human,Cody Johnson,Human The Double Album,2021-10-08,68
7EAMXbLcL0qXmciM5SwMh2,Heart To Heart,Mac DeMarco,Here Comes The Cowboy,2019-05-10,84
0UMqDSXk4xvoCNRrIEPf7T,King Snipe,Gucci Mane,King Snipe,2023-01-13,58
0JXXNGljqupsJaZsgSbMZV,Sure Thing,Miguel,All I Want Is You,2010-11-26,86
6lyhMxltOaZrzRxRmmc3lU,Black,YoungBoy Never Broke Again,Black,2023-01-04,48
3r8RuvgbX9s7ammBn07D3W,Ditto,NewJeans,Ditto,2022-12-19,81
3xdCHf5O691Ct8o1O9pjKo,That’s What Tequila Does,Jason Aldean,MACON,2021-11-12,56
10M2Ex445zw585Ducldzkw,In Case You Didn't Know,Brett Young,Brett Young,2017-02-10,76
11BKm0j4eYoCPPpCONAVwA,Bloody Mary,Lady Gaga,Born This Way (Special Edition),2011-01-01,70
6Qpfsw8OS5HW5XxgmXYLWS,Handle On You,Parker McCollum,Handle On You,2022-08-05,64
3azJifCSqg9fRij2yKIbWz,The Color Violet,Tory Lanez,Alone At Prom,2021-12-10,87
5LrN7yUQAzvthd4QujgPFr,Here With Me,d4vd,Petals to Thorns,2023-05-26,87
3hxIUxnT27p5WcmjGUXNwx,Shut up My Moms Calling,Hotel Ugly,Shut up My Moms Calling,2020-02-10,89
6UN73IYd0hZxLi8wFPMQij,Players,Coi Leray,Players,2022-11-30,75
54ELExv56KCAB4UP9cOCzC,Gato de Noche,Ñengo Flow,Gato de Noche,2022-12-22,74
5HR7yfhSCeoOHRQN05XnZQ,QUE VUELVAS,Grupo Frontera,El Comienzo,2023-08-25,82
0IKeDy5bT9G0bA7ZixRT4A,Bebe Dame,Fuerza Regida,Sigan Hablando,2022-12-28,77
27RYrbL6S02LNVhDWVl38b,Happy Xmas (War Is Over) - Remastered 2010,John Lennon,Signature Box,2010-10-05,61
6L4XGeAdRRC32vVJpp8MdM,Face 2 Face,Juice WRLD,Face 2 Face,2022-12-15,66
5glU2EWqa5hpYqGPboSNjV,Kid On Christmas (feat. Meghan Trainor),Pentatonix,Holidays Around the World,2022-10-28,40
3OHfY25tqY28d16oZczHc8,Kill Bill,SZA,SOS,2022-12-09,83
5Y35SjAfXjjG0sFQ3KOxmm,Nobody Gets Me,SZA,SOS,2022-12-09,86
2CSRrnOEELmhpq8iaAi9cd,Blind,SZA,SOS,2022-12-09,80
2GAhgAjOhEmItWLfgisyOn,Low,SZA,SOS,2022-12-09,82
1eIXYZWEfJO3Na2LCCnIJE,Love Language,SZA,SOS,2022-12-09,77
5DrNFzZZZVfXaEZCaceKnp,Seek & Destroy (Remastered),Metallica,Kill 'Em All (Remastered),1983-07-25,64
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,SOS,2022-12-09,90
4NqkE7kRUvMDEdcqD96EDO,Used (feat. Don Toliver),SZA,SOS,2022-12-08,71
5xMw6qCcpd2gBXPGTegC4W,SOS,SZA,SOS,2022-12-09,70
6RQ5IwG7uADz9LDWliJGjU,Special,SZA,SOS,2022-12-09,75
6RQ5IwG7uADz9LDWliJGjU,Special,SZA,SOS,2022-12-09,75
4h5x3XHLVYFJaItKuO2rhy,Ghost in the Machine (feat. Phoebe Bridgers),SZA,SOS,2022-12-09,77
2Sjx8DWZO5zaTyTAmgo2gY,Gone Girl,SZA,SOS,2022-12-09,70
4fnNBPN9W6AoOYSQS3FJxT,Notice Me,SZA,SOS,2022-12-09,70
4jTs7ny5eSRnKTzxdrFv5I,Smoking on my Ex Pack,SZA,SOS,2022-12-09,70
6koKhrBBcExADvWuOgceNZ,Open Arms (feat. Travis Scott),SZA,SOS,2022-12-08,82
2e2AXpIiJpet5b4qg85Gh6,F2F,SZA,SOS,2022-12-09,71
4hTej08FutmriOs7S1hWWy,Conceited,SZA,SOS,2022-12-09,69
74NI58MQexwZjNu1Gu6GjT,Far,SZA,SOS,2022-12-09,71
