id,song_spotify,artist_spotify,album,release_date,popularity
4q7y1JFDBJSBSLqXVgcI51,Runnin Outta Time,Future,WE DON'T TRUST YOU,2024-03-22,80
3Vg7nPYlOrCkcV1abKbRQ1,Everyday Hustle,Future,WE DON'T TRUST YOU,2024-03-22,80
4XF9fk0STp9hx8xn5Suwpz,GTA,Future,WE DON'T TRUST YOU,2024-03-22,78
72qABvaqn3TP6drO2tByA6,Ain't No Love,Future,WE DON'T TRUST YOU,2024-03-22,78
6WO7IDGLakjO38lsvI2gHB,Slow It Down,Benson Boone,Slow It Down,2024-03-21,86
1xwvjqcwflD2NEqRCNcCo2,WTFYM,Future,WE DON'T TRUST YOU,2024-03-22,77
5imsnhkfPCm3wajS9ksb21,Seen it All,Future,WE DON'T TRUST YOU,2024-03-22,76
5Jh1i0no3vJ9u4deXkb4aV,so american,Olivia Rodrigo,GUTS (spilled),2024-03-22,85
30TcFxtFyju8isK6Hjo9KY,Where My Twin @ - Bonus,Future,WE DON'T TRUST YOU,2024-03-22,75
7EWtB4NKYY3NqBl31PVip9,LA PEOPLE II,Peso Pluma,LA PEOPLE II,2024-03-21,89
5rFtmW5WSoT9uNYW1eYqq4,I'll Make You Miss Me,Artemas,I'll Make You Miss Me,2023-07-07,62
2dYXrWkNO40NXy2Q3IYLRc,Puntería,Shakira,Las Mujeres Ya No Lloran,2024-03-22,82
0dEAiKNbHt4mrjjoiL0loc,Corazón de Piedra,Xavi,Corazón de Piedra,2024-03-21,91
2U3jOPfO4wZZFaaWS4Dcj6,stranger,Olivia Rodrigo,GUTS (spilled),2024-03-22,81
1q1WpDkeFN3y9FlwZ1f440,Wildflower and Barley (feat. Allison Russell),Hozier,Unheard,2024-03-22,72
7JqH46zlr7XV7vMBt4slE6,scared of my guitar,Olivia Rodrigo,GUTS (spilled),2024-03-22,79
3rZgLwQOX9N2up8JQhKi61,Best For Me,Joyner Lucas,Best For Me,2024-03-18,70
7bQRGSTZYc8qedKrW9FmYI,Empire Now,Hozier,Unheard,2024-03-22,72
0bJAmhSAeMSfsyazOEUVFf,girl i’ve always been,Olivia Rodrigo,GUTS (spilled),2024-03-22,78
4XqBLxDaEdlqkHlSlb1Rzq,Enough (Miami),Cardi B,Enough (Miami),2024-03-15,71
2MjXWroB9wlTG2kqv3avfS,Get It Sexyy,Sexyy Red,Get It Sexyy,2024-03-15,84
0ZBg0OsGKgZajDgFtryiz7,Prada Dem (feat. Offset),Gunna,Prada Dem (feat. Offset),2024-03-15,82
0PBTlQ84CBJF0tBnKGmQa6,FRI(END)S,V,FRI(END)S,2024-03-15,93
333XFHKsHU0pOocFzBgrJi,Deeper Well,Kacey Musgraves,Deeper Well,2024-03-15,78
6PmqCt2fO80OojY5eGS2X3,Mr Pot Scraper,BossMan Dlow,Mr Pot Scraper,2024-02-23,72
7aDgRKt0w7iSVc3NIJLybG,Baby Please,Ivan Cornejo,Baby Please,2024-03-14,76
72kGuWpRiuA149Bn5lDkIO,We Ride,Bryan Martin,Poets & Old Souls,2023-03-31,82
7ps2ubDk6VEytKw5xFSZeE,A POKA LUZ,FloyyMenor,A POKA LUZ,2024-04-12,59
51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),Ariana Grande,eternal sunshine,2024-03-08,96
0Lmbke3KNVFXtoH2mMSHCw,the boy is mine,Ariana Grande,eternal sunshine,2024-03-08,89
142PiXzA84lmEw2RstFHFa,supernatural,Ariana Grande,eternal sunshine,2024-03-08,85
3RwWW7KeVhHGayYJgUL5eZ,eternal sunshine,Ariana Grande,eternal sunshine,2024-03-08,86
1Rweq7vNjK4kZBbGrmxQsl,bye,Ariana Grande,eternal sunshine,2024-03-08,87
0o3ua5ufFK7nfRzbDUNoGA,don't wanna break up again,Ariana Grande,eternal sunshine,2024-03-08,84
14kyXBpg91RVq8bNRDS1q2,true story,Ariana Grande,eternal sunshine,2024-03-08,83
6XXKB32Om6WuXg3uEWwTob,imperfect for you,Ariana Grande,eternal sunshine,2024-03-08,82
2o1pb13quMReXZqE7jWsgq,intro (end of the world),Ariana Grande,eternal sunshine,2024-03-08,90
5cQX9BexkPIEESTZijJhXg,i wish i hated you,Ariana Grande,eternal sunshine,2024-03-08,82
4mHM5d2fK3n8xgymjf92w2,ordinary things (feat. Nonna),Ariana Grande,eternal sunshine,2024-03-08,80
69wVo2cAAD7O9XSpSpTBAu,Austin,Dasha,Austin,2023-11-16,68
0GdZqKPBrvkpo7mk2OyHtf,Back Then Right Now,Tyler Hubbard,Back Then Right Now,2023-09-08,72
2E0bqoMlIb2xmFyZHRjtzK,Outskirts,Sam Hunt,Outskirts,2023-03-10,72
3ytbtkmMnkfwMrBi32a7FD,Like What (Freestyle),Cardi B,Like What (Freestyle),2024-03-01,75
0wEGo9LsSrSUz9HOtraWAO,Overcompensate,Twenty One Pilots,Overcompensate,2024-02-29,77
4f9wNNZET9wH7eMBgONd3d,Doctor (Work It Out) [feat. Miley Cyrus],Pharrell Williams,Doctor (Work It Out) [feat. Miley Cyrus],2024-03-01,80
