song,artist,pk,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
7 Minute Drill,J. Cole,7 Minute Drill_J. Cole,0.488,0.673,10.0,-11.262,0.0,0.176,0.109,0.86,0.28,0.188,163.987,audio_features,121ozDQCYicrPSgpeSUPx6,spotify:track:121ozDQCYicrPSgpeSUPx6,https://api.spotify.com/v1/tracks/121ozDQCYicrPSgpeSUPx6,https://api.spotify.com/v1/audio-analysis/121ozDQCYicrPSgpeSUPx6,206601.0,4.0
Wanna Be,GloRilla & Megan Thee Stallion,Wanna Be_GloRilla & Megan Thee Stallion,0.918,0.616,1.0,-5.202,1.0,0.355,0.0222,0.0,0.135,0.37,135.054,audio_features,7mOC6phfrfz3jfigg1aGsE,spotify:track:7mOC6phfrfz3jfigg1aGsE,https://api.spotify.com/v1/tracks/7mOC6phfrfz3jfigg1aGsE,https://api.spotify.com/v1/audio-analysis/7mOC6phfrfz3jfigg1aGsE,156444.0,4.0
Crocodile Tearz,J. Cole,Crocodile Tearz_J. Cole,0.793,0.492,9.0,-8.583,0.0,0.0772,0.0527,0.0,0.0646,0.198,86.978,audio_features,1yfKakY4rvI17lk20ekuRA,spotify:track:1yfKakY4rvI17lk20ekuRA,https://api.spotify.com/v1/tracks/1yfKakY4rvI17lk20ekuRA,https://api.spotify.com/v1/audio-analysis/1yfKakY4rvI17lk20ekuRA,229187.0,4.0
Huntin' Wabbitz,J. Cole,Huntin' Wabbitz_J. Cole,0.807,0.49,1.0,-8.451,0.0,0.353,0.177,0.0,0.0937,0.431,113.982,audio_features,2cH8wHImerFokgmhjyhCTU,spotify:track:2cH8wHImerFokgmhjyhCTU,https://api.spotify.com/v1/tracks/2cH8wHImerFokgmhjyhCTU,https://api.spotify.com/v1/audio-analysis/2cH8wHImerFokgmhjyhCTU,162027.0,4.0
Pricey,"J. Cole Featuring Ari Lennox, Young Dro & Gucci Mane","Pricey_J. Cole Featuring Ari Lennox, Young Dro & Gucci Mane",0.845,0.69,7.0,-5.703,1.0,0.0839,0.0927,0.00523,0.0844,0.957,114.966,audio_features,5E9cb5vhHkrM0DW8yIYkfw,spotify:track:5E9cb5vhHkrM0DW8yIYkfw,https://api.spotify.com/v1/tracks/5E9cb5vhHkrM0DW8yIYkfw,https://api.spotify.com/v1/audio-analysis/5E9cb5vhHkrM0DW8yIYkfw,210924.0,4.0
H.Y.B.,J. Cole Featuring Bas & Central Cee,H.Y.B._J. Cole Featuring Bas & Central Cee,0.32,0.0717,5.0,-23.082,0.0,0.0396,0.873,0.000281,0.186,0.28,69.693,audio_features,7tL8axnLq9V2ux4XQmkzMF,spotify:track:7tL8axnLq9V2ux4XQmkzMF,https://api.spotify.com/v1/tracks/7tL8axnLq9V2ux4XQmkzMF,https://api.spotify.com/v1/audio-analysis/7tL8axnLq9V2ux4XQmkzMF,38960.0,3.0
Ready '24,J. Cole Featuring Cam'Ron,Ready '24_J. Cole Featuring Cam'Ron,0.449,0.697,11.0,-5.342,1.0,0.323,0.114,0.0,0.241,0.242,83.699,audio_features,4J9WveqdoaEUQu1aeoSH9X,spotify:track:4J9WveqdoaEUQu1aeoSH9X,https://api.spotify.com/v1/tracks/4J9WveqdoaEUQu1aeoSH9X,https://api.spotify.com/v1/audio-analysis/4J9WveqdoaEUQu1aeoSH9X,210133.0,4.0
Stickz N Stonez,J. Cole,Stickz N Stonez_J. Cole,0.535,0.726,4.0,-6.515,0.0,0.386,0.194,0.0,0.311,0.471,77.238,audio_features,1tTKy8pW1dMaXJm7bYrSzA,spotify:track:1tTKy8pW1dMaXJm7bYrSzA,https://api.spotify.com/v1/tracks/1tTKy8pW1dMaXJm7bYrSzA,https://api.spotify.com/v1/audio-analysis/1tTKy8pW1dMaXJm7bYrSzA,200787.0,4.0
Fever,J. Cole,Fever_J. Cole,0.805,0.548,1.0,-9.316,1.0,0.173,0.145,0.000148,0.377,0.167,99.95,audio_features,6XkIQqAsFjk1XfD4L7G6qR,spotify:track:6XkIQqAsFjk1XfD4L7G6qR,https://api.spotify.com/v1/tracks/6XkIQqAsFjk1XfD4L7G6qR,https://api.spotify.com/v1/audio-analysis/6XkIQqAsFjk1XfD4L7G6qR,142640.0,4.0
Cry,Benson Boone,Cry_Benson Boone,0.711,0.48,10.0,-5.251,1.0,0.0365,0.104,1.55e-05,0.0894,0.352,107.948,audio_features,3h76tbaYIamSeJL81X7ZwI,spotify:track:3h76tbaYIamSeJL81X7ZwI,https://api.spotify.com/v1/tracks/3h76tbaYIamSeJL81X7ZwI,https://api.spotify.com/v1/audio-analysis/3h76tbaYIamSeJL81X7ZwI,186360.0,4.0
Pi,J. Cole Featuring Daylyt & Ab-Soul,Pi_J. Cole Featuring Daylyt & Ab-Soul,0.557,0.496,0.0,-9.602,1.0,0.0563,0.808,0.000173,0.0772,0.265,149.983,audio_features,1fzAuUVbzlhZ1lJAx9PtY6,spotify:track:1fzAuUVbzlhZ1lJAx9PtY6,https://api.spotify.com/v1/tracks/1fzAuUVbzlhZ1lJAx9PtY6,https://api.spotify.com/v1/audio-analysis/1fzAuUVbzlhZ1lJAx9PtY6,293453.0,4.0
Stealth Mode,J. Cole Featuring Bas,Stealth Mode_J. Cole Featuring Bas,0.226,0.525,0.0,-5.441,0.0,0.0377,0.00226,0.0,0.111,0.1,85.33,audio_features,1nmwT930XXGwjccTSqkctl,spotify:track:1nmwT930XXGwjccTSqkctl,https://api.spotify.com/v1/tracks/1nmwT930XXGwjccTSqkctl,https://api.spotify.com/v1/audio-analysis/1nmwT930XXGwjccTSqkctl,230943.0,5.0
Trae The Truth In Ibiza,J. Cole,Trae The Truth In Ibiza_J. Cole,0.488,0.586,7.0,-7.868,1.0,0.0987,0.121,0.0,0.354,0.533,158.405,audio_features,4E2fOeF5A6onC10OtnjXJa,spotify:track:4E2fOeF5A6onC10OtnjXJa,https://api.spotify.com/v1/tracks/4E2fOeF5A6onC10OtnjXJa,https://api.spotify.com/v1/audio-analysis/4E2fOeF5A6onC10OtnjXJa,255440.0,3.0
3001,J. Cole,3001_J. Cole,0.565,0.766,8.0,-6.708,1.0,0.444,0.122,0.0,0.0865,0.241,161.615,audio_features,7JRwdwgeTrYkJvwmecrPSW,spotify:track:7JRwdwgeTrYkJvwmecrPSW,https://api.spotify.com/v1/tracks/7JRwdwgeTrYkJvwmecrPSW,https://api.spotify.com/v1/audio-analysis/7JRwdwgeTrYkJvwmecrPSW,157853.0,4.0
Hell N Back,Bakar Featuring Summer Walker,Hell N Back_Bakar Featuring Summer Walker,0.64,0.673,5.0,-4.519,0.0,0.563,0.288,2.15e-06,0.113,0.736,209.942,audio_features,0ZDwhNFZnPx9EIPCcwGUHC,spotify:track:0ZDwhNFZnPx9EIPCcwGUHC,https://api.spotify.com/v1/tracks/0ZDwhNFZnPx9EIPCcwGUHC,https://api.spotify.com/v1/audio-analysis/0ZDwhNFZnPx9EIPCcwGUHC,195147.0,4.0
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!_Chappell Roan",0.698,0.577,11.0,-5.858,0.0,0.0356,0.0495,0.0,0.0934,0.799,116.719,audio_features,0WbMK4wrZ1wFSty9F7FCgu,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,https://api.spotify.com/v1/tracks/0WbMK4wrZ1wFSty9F7FCgu,https://api.spotify.com/v1/audio-analysis/0WbMK4wrZ1wFSty9F7FCgu,218424.0,4.0
Halfway To Hell,Jelly Roll,Halfway To Hell_Jelly Roll,0.503,0.864,2.0,-5.376,0.0,0.0637,0.00227,0.0,0.948,0.443,107.18,audio_features,1fAeFPXsX08Ovnn9iV1x27,spotify:track:1fAeFPXsX08Ovnn9iV1x27,https://api.spotify.com/v1/tracks/1fAeFPXsX08Ovnn9iV1x27,https://api.spotify.com/v1/audio-analysis/1fAeFPXsX08Ovnn9iV1x27,178440.0,4.0
Magnetic,ILLIT,Magnetic_ILLIT,0.797,0.668,6.0,-5.819,1.0,0.0687,0.257,0.0,0.0876,0.69,131.067,audio_features,1aKvZDoLGkNMxoRYgkckZG,spotify:track:1aKvZDoLGkNMxoRYgkckZG,https://api.spotify.com/v1/tracks/1aKvZDoLGkNMxoRYgkckZG,https://api.spotify.com/v1/audio-analysis/1aKvZDoLGkNMxoRYgkckZG,160688.0,4.0
Bulletproof,Nate Smith,Bulletproof_Nate Smith,0.444,0.727,7.0,-5.177,1.0,0.0394,0.0361,0.0,0.114,0.519,79.912,audio_features,6VpH2prT3NGiK5pnpG2L3J,spotify:track:6VpH2prT3NGiK5pnpG2L3J,https://api.spotify.com/v1/tracks/6VpH2prT3NGiK5pnpG2L3J,https://api.spotify.com/v1/audio-analysis/6VpH2prT3NGiK5pnpG2L3J,183920.0,4.0
II Most Wanted,Beyonce & Miley Cyrus,II Most Wanted_Beyonce & Miley Cyrus,0.533,0.355,8.0,-6.132,1.0,0.0289,0.497,0.0,0.174,0.256,137.986,audio_features,1UP7PXne1lIYZB5G5aiRGL,spotify:track:1UP7PXne1lIYZB5G5aiRGL,https://api.spotify.com/v1/tracks/1UP7PXne1lIYZB5G5aiRGL,https://api.spotify.com/v1/audio-analysis/1UP7PXne1lIYZB5G5aiRGL,208521.0,4.0
Jolene,Beyonce,Jolene_Beyonce,0.567,0.812,11.0,-5.434,0.0,0.164,0.532,0.0,0.73,0.853,106.179,audio_features,2PmMh2t7jAtN6cqFooA0Xy,spotify:track:2PmMh2t7jAtN6cqFooA0Xy,https://api.spotify.com/v1/tracks/2PmMh2t7jAtN6cqFooA0Xy,https://api.spotify.com/v1/audio-analysis/2PmMh2t7jAtN6cqFooA0Xy,189639.0,4.0
Levii's Jeans,Beyonce & Post Malone,Levii's Jeans_Beyonce & Post Malone,0.755,0.43,1.0,-7.482,1.0,0.0359,0.302,2.71e-06,0.121,0.325,115.964,audio_features,2UDARQiksl207HcSduDpov,spotify:track:2UDARQiksl207HcSduDpov,https://api.spotify.com/v1/tracks/2UDARQiksl207HcSduDpov,https://api.spotify.com/v1/audio-analysis/2UDARQiksl207HcSduDpov,257699.0,4.0
Bodyguard,Beyonce,Bodyguard_Beyonce,0.726,0.779,4.0,-5.432,0.0,0.0551,0.0137,0.000235,0.365,0.539,119.031,audio_features,6Y4rniIxibegzsg8cdWAWV,spotify:track:6Y4rniIxibegzsg8cdWAWV,https://api.spotify.com/v1/tracks/6Y4rniIxibegzsg8cdWAWV,https://api.spotify.com/v1/audio-analysis/6Y4rniIxibegzsg8cdWAWV,240254.0,4.0
Blackbiird,"Beyonce, Tanner Adell, Brittney Spencer, Tiera Kennedy & Reyna Roberts","Blackbiird_Beyonce, Tanner Adell, Brittney Spencer, Tiera Kennedy & Reyna Roberts",0.476,0.192,7.0,-12.553,1.0,0.0269,0.716,0.0,0.11,0.201,93.709,audio_features,7eEr7lgWYudwEKEaWCPiPI,spotify:track:7eEr7lgWYudwEKEaWCPiPI,https://api.spotify.com/v1/tracks/7eEr7lgWYudwEKEaWCPiPI,https://api.spotify.com/v1/audio-analysis/7eEr7lgWYudwEKEaWCPiPI,131949.0,4.0
Ameriican Requiem,Beyonce,Ameriican Requiem_Beyonce,0.374,0.515,4.0,-6.482,1.0,0.0363,0.0963,0.0,0.171,0.0568,93.769,audio_features,6K2Iut8nSQigP83yvbiqi8,spotify:track:6K2Iut8nSQigP83yvbiqi8,https://api.spotify.com/v1/tracks/6K2Iut8nSQigP83yvbiqi8,https://api.spotify.com/v1/audio-analysis/6K2Iut8nSQigP83yvbiqi8,325038.0,4.0
Spaghettii,"Beyonce, Linda Martell & Shaboozey","Spaghettii_Beyonce, Linda Martell & Shaboozey",0.504,0.624,8.0,-7.444,1.0,0.428,0.476,0.0,0.0996,0.333,94.522,audio_features,5UcUppRaEIBMIHXiUFl7LI,spotify:track:5UcUppRaEIBMIHXiUFl7LI,https://api.spotify.com/v1/tracks/5UcUppRaEIBMIHXiUFl7LI,https://api.spotify.com/v1/audio-analysis/5UcUppRaEIBMIHXiUFl7LI,158477.0,3.0
Daughter,Beyonce,Daughter_Beyonce,0.374,0.448,9.0,-10.04,0.0,0.0364,0.789,0.0,0.118,0.386,114.108,audio_features,0hWCzWl04zT7P6vMy63XCN,spotify:track:0hWCzWl04zT7P6vMy63XCN,https://api.spotify.com/v1/tracks/0hWCzWl04zT7P6vMy63XCN,https://api.spotify.com/v1/audio-analysis/0hWCzWl04zT7P6vMy63XCN,203851.0,4.0
Ya Ya,Beyonce,Ya Ya_Beyonce,0.617,0.904,11.0,-5.371,1.0,0.341,0.317,0.0,0.507,0.764,151.926,audio_features,0K9tfzrxJyCQIf7oAlPwaK,spotify:track:0K9tfzrxJyCQIf7oAlPwaK,https://api.spotify.com/v1/tracks/0K9tfzrxJyCQIf7oAlPwaK,https://api.spotify.com/v1/audio-analysis/0K9tfzrxJyCQIf7oAlPwaK,274766.0,4.0
Protector,Beyonce & Rumi Carter,Protector_Beyonce & Rumi Carter,0.377,0.33,8.0,-9.476,1.0,0.0525,0.861,0.0,0.318,0.574,84.624,audio_features,4dsdSwSdBWjlsVzU6iJs3b,spotify:track:4dsdSwSdBWjlsVzU6iJs3b,https://api.spotify.com/v1/tracks/4dsdSwSdBWjlsVzU6iJs3b,https://api.spotify.com/v1/audio-analysis/4dsdSwSdBWjlsVzU6iJs3b,184400.0,4.0
Tyrant,Beyonce & Dolly Parton,Tyrant_Beyonce & Dolly Parton,0.751,0.648,6.0,-4.21,1.0,0.183,0.083,0.0,0.585,0.813,126.032,audio_features,5mUlozUYpdmXVPkj4BW8cA,spotify:track:5mUlozUYpdmXVPkj4BW8cA,https://api.spotify.com/v1/tracks/5mUlozUYpdmXVPkj4BW8cA,https://api.spotify.com/v1/audio-analysis/5mUlozUYpdmXVPkj4BW8cA,250725.0,4.0
Riiverdance,Beyonce,Riiverdance_Beyonce,0.699,0.791,7.0,-8.527,1.0,0.186,0.456,0.0,0.25,0.43,119.997,audio_features,0TsCBkrq3owPs06HP5Q9Z4,spotify:track:0TsCBkrq3owPs06HP5Q9Z4,https://api.spotify.com/v1/tracks/0TsCBkrq3owPs06HP5Q9Z4,https://api.spotify.com/v1/audio-analysis/0TsCBkrq3owPs06HP5Q9Z4,251986.0,4.0
Alliigator Tears,Beyonce,Alliigator Tears_Beyonce,0.618,0.651,2.0,-9.662,1.0,0.0822,0.202,0.0,0.237,0.656,74.548,audio_features,1LSWDkZxVngIpfjvMs6Q56,spotify:track:1LSWDkZxVngIpfjvMs6Q56,https://api.spotify.com/v1/tracks/1LSWDkZxVngIpfjvMs6Q56,https://api.spotify.com/v1/audio-analysis/1LSWDkZxVngIpfjvMs6Q56,179398.0,4.0
My Rose,Beyonce,My Rose_Beyonce,0.384,0.177,2.0,-11.755,0.0,0.0418,0.771,0.0,0.0943,0.59,175.953,audio_features,486YUqcmF9IWPkreU0THcQ,spotify:track:486YUqcmF9IWPkreU0THcQ,https://api.spotify.com/v1/tracks/486YUqcmF9IWPkreU0THcQ,https://api.spotify.com/v1/audio-analysis/486YUqcmF9IWPkreU0THcQ,53443.0,3.0
Just For Fun,Beyonce & Willie Jones,Just For Fun_Beyonce & Willie Jones,0.466,0.434,9.0,-8.559,1.0,0.0382,0.549,1.3e-05,0.18,0.127,72.403,audio_features,4h6iaiMchTUHlK5ovMiJ3h,spotify:track:4h6iaiMchTUHlK5ovMiJ3h,https://api.spotify.com/v1/tracks/4h6iaiMchTUHlK5ovMiJ3h,https://api.spotify.com/v1/audio-analysis/4h6iaiMchTUHlK5ovMiJ3h,204487.0,4.0
II Hands II Heaven,Beyonce,II Hands II Heaven_Beyonce,0.674,0.602,7.0,-7.866,1.0,0.224,0.539,1.69e-06,0.0906,0.533,123.943,audio_features,1Y7vNzQrybb2ICYKmbOfdt,spotify:track:1Y7vNzQrybb2ICYKmbOfdt,https://api.spotify.com/v1/tracks/1Y7vNzQrybb2ICYKmbOfdt,https://api.spotify.com/v1/audio-analysis/1Y7vNzQrybb2ICYKmbOfdt,341312.0,4.0
Sweet * Honey * Buckiin',Beyonce & Shaboozey,Sweet * Honey * Buckiin'_Beyonce & Shaboozey,0.73,0.639,10.0,-8.358,0.0,0.185,0.208,0.00041,0.118,0.337,124.014,audio_features,7CA0mEKqEZ0WFAIlTS4uEl,spotify:track:7CA0mEKqEZ0WFAIlTS4uEl,https://api.spotify.com/v1/tracks/7CA0mEKqEZ0WFAIlTS4uEl,https://api.spotify.com/v1/audio-analysis/7CA0mEKqEZ0WFAIlTS4uEl,296186.0,4.0
Flamenco,Beyonce,Flamenco_Beyonce,0.497,0.351,7.0,-9.248,0.0,0.0274,0.764,1.5e-06,0.136,0.492,105.032,audio_features,3B7EZgquNKHrSIo2tEc8mK,spotify:track:3B7EZgquNKHrSIo2tEc8mK,https://api.spotify.com/v1/tracks/3B7EZgquNKHrSIo2tEc8mK,https://api.spotify.com/v1/audio-analysis/3B7EZgquNKHrSIo2tEc8mK,100364.0,4.0
Desert Eagle,Beyonce,Desert Eagle_Beyonce,0.691,0.489,0.0,-8.461,1.0,0.0539,0.645,1.61e-06,0.328,0.662,85.032,audio_features,2dklP2sRuvcJROlrM8F7Dp,spotify:track:2dklP2sRuvcJROlrM8F7Dp,https://api.spotify.com/v1/tracks/2dklP2sRuvcJROlrM8F7Dp,https://api.spotify.com/v1/audio-analysis/2dklP2sRuvcJROlrM8F7Dp,72449.0,4.0
Oh Louisiana,Beyonce,Oh Louisiana_Beyonce,0.504,0.378,11.0,-14.203,1.0,0.0408,0.728,0.313,0.717,0.849,145.685,audio_features,7pkqvejfDmeLen9MrnppQr,spotify:track:7pkqvejfDmeLen9MrnppQr,https://api.spotify.com/v1/tracks/7pkqvejfDmeLen9MrnppQr,https://api.spotify.com/v1/audio-analysis/7pkqvejfDmeLen9MrnppQr,52196.0,4.0
I Luv It,Camila Cabello & Playboi Carti,I Luv It_Camila Cabello & Playboi Carti,0.587,0.779,5.0,-5.764,1.0,0.0467,0.0149,0.000394,0.227,0.228,151.01,audio_features,2H2ytI7ompfNmRkI2sq8Uk,spotify:track:2H2ytI7ompfNmRkI2sq8Uk,https://api.spotify.com/v1/tracks/2H2ytI7ompfNmRkI2sq8Uk,https://api.spotify.com/v1/audio-analysis/2H2ytI7ompfNmRkI2sq8Uk,174886.0,4.0
Amen,Beyonce,Amen_Beyonce,0.333,0.452,1.0,-7.087,1.0,0.0349,0.0687,4.17e-05,0.329,0.0913,79.825,audio_features,3ly60iOVqcsdtlMhQ8FcE1,spotify:track:3ly60iOVqcsdtlMhQ8FcE1,https://api.spotify.com/v1/tracks/3ly60iOVqcsdtlMhQ8FcE1,https://api.spotify.com/v1/audio-analysis/3ly60iOVqcsdtlMhQ8FcE1,145106.0,3.0
Wind Up Missin' You,Tucker Wetmore,Wind Up Missin' You_Tucker Wetmore,0.566,0.734,6.0,-5.631,1.0,0.0349,0.523,0.0,0.124,0.619,171.829,audio_features,5JRYVSZ6K2jY0kznYBmoqr,spotify:track:5JRYVSZ6K2jY0kznYBmoqr,https://api.spotify.com/v1/tracks/5JRYVSZ6K2jY0kznYBmoqr,https://api.spotify.com/v1/audio-analysis/5JRYVSZ6K2jY0kznYBmoqr,166040.0,4.0
Like That,"Future, Metro Boomin & Kendrick Lamar","Like That_Future, Metro Boomin & Kendrick Lamar",0.814,0.676,11.0,-4.67,0.0,0.231,0.00709,1.28e-05,0.119,0.312,162.012,audio_features,2tudvzsrR56uom6smgOcSf,spotify:track:2tudvzsrR56uom6smgOcSf,https://api.spotify.com/v1/tracks/2tudvzsrR56uom6smgOcSf,https://api.spotify.com/v1/audio-analysis/2tudvzsrR56uom6smgOcSf,267707.0,4.0
Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti","Type Shit_Future, Metro Boomin, Travis Scott & Playboi Carti",0.64,0.552,2.0,-5.679,1.0,0.129,0.0215,0.0,0.119,0.112,144.941,audio_features,28drn6tQo95MRvO0jQEo5C,spotify:track:28drn6tQo95MRvO0jQEo5C,https://api.spotify.com/v1/tracks/28drn6tQo95MRvO0jQEo5C,https://api.spotify.com/v1/audio-analysis/28drn6tQo95MRvO0jQEo5C,228267.0,4.0
Too Sweet,Hozier,Too Sweet_Hozier,0.741,0.62,10.0,-5.505,1.0,0.0412,0.0295,0.000809,0.0398,0.934,117.038,audio_features,4IadxL6BUymXlh8RCJJu7T,spotify:track:4IadxL6BUymXlh8RCJJu7T,https://api.spotify.com/v1/tracks/4IadxL6BUymXlh8RCJJu7T,https://api.spotify.com/v1/audio-analysis/4IadxL6BUymXlh8RCJJu7T,251424.0,4.0
Cinderella,"Future, Metro Boomin & Travis Scott","Cinderella_Future, Metro Boomin & Travis Scott",0.876,0.412,5.0,-7.74,0.0,0.0748,0.431,0.0,0.101,0.15,130.052,audio_features,0hKtu53OlIFXVuYkZwcn3o,spotify:track:0hKtu53OlIFXVuYkZwcn3o,https://api.spotify.com/v1/tracks/0hKtu53OlIFXVuYkZwcn3o,https://api.spotify.com/v1/audio-analysis/0hKtu53OlIFXVuYkZwcn3o,169840.0,4.0
We Don't Trust You,Future & Metro Boomin,We Don't Trust You_Future & Metro Boomin,0.779,0.508,6.0,-7.169,0.0,0.271,0.478,0.000439,0.243,0.346,124.091,audio_features,1pnDvUuAEd6z8bKEsbAjk1,spotify:track:1pnDvUuAEd6z8bKEsbAjk1,https://api.spotify.com/v1/tracks/1pnDvUuAEd6z8bKEsbAjk1,https://api.spotify.com/v1/audio-analysis/1pnDvUuAEd6z8bKEsbAjk1,226213.0,4.0
Young Metro,"Future, Metro Boomin & The Weeknd","Young Metro_Future, Metro Boomin & The Weeknd",0.716,0.664,6.0,-7.297,0.0,0.0571,0.11,0.0,0.11,0.209,112.054,audio_features,3OxL6MuctgZp1e0zxoAZhH,spotify:track:3OxL6MuctgZp1e0zxoAZhH,https://api.spotify.com/v1/tracks/3OxL6MuctgZp1e0zxoAZhH,https://api.spotify.com/v1/audio-analysis/3OxL6MuctgZp1e0zxoAZhH,205347.0,4.0
Ice Attack,Future & Metro Boomin,Ice Attack_Future & Metro Boomin,0.555,0.528,11.0,-6.368,0.0,0.356,0.0373,0.0,0.16,0.456,149.723,audio_features,70ToiXlzl8N1EgfC07ZcZE,spotify:track:70ToiXlzl8N1EgfC07ZcZE,https://api.spotify.com/v1/tracks/70ToiXlzl8N1EgfC07ZcZE,https://api.spotify.com/v1/audio-analysis/70ToiXlzl8N1EgfC07ZcZE,199253.0,4.0
Obsessed,Olivia Rodrigo,Obsessed_Olivia Rodrigo,0.683,0.587,8.0,-5.094,1.0,0.0915,0.0219,0.0,0.305,0.697,119.985,audio_features,6tNgRQ0K2NYZ0Rb9l9DzL8,spotify:track:6tNgRQ0K2NYZ0Rb9l9DzL8,https://api.spotify.com/v1/tracks/6tNgRQ0K2NYZ0Rb9l9DzL8,https://api.spotify.com/v1/audio-analysis/6tNgRQ0K2NYZ0Rb9l9DzL8,170542.0,4.0
Slimed In,Future & Metro Boomin,Slimed In_Future & Metro Boomin,0.749,0.403,1.0,-8.395,0.0,0.135,0.103,0.000186,0.324,0.0619,118.153,audio_features,2GLWhy9iiO1wrLUF5l4FtJ,spotify:track:2GLWhy9iiO1wrLUF5l4FtJ,https://api.spotify.com/v1/tracks/2GLWhy9iiO1wrLUF5l4FtJ,https://api.spotify.com/v1/audio-analysis/2GLWhy9iiO1wrLUF5l4FtJ,194907.0,4.0
Claustrophobic,Future & Metro Boomin,Claustrophobic_Future & Metro Boomin,0.681,0.607,1.0,-5.815,1.0,0.259,0.0501,1.54e-05,0.449,0.225,73.562,audio_features,57ELn9TPDIhrpl0dasS465,spotify:track:57ELn9TPDIhrpl0dasS465,https://api.spotify.com/v1/tracks/57ELn9TPDIhrpl0dasS465,https://api.spotify.com/v1/audio-analysis/57ELn9TPDIhrpl0dasS465,222053.0,4.0
Magic Don Juan (Princess Diana),Future & Metro Boomin,Magic Don Juan (Princess Diana)_Future & Metro Boomin,0.596,0.507,1.0,-5.719,0.0,0.227,0.0404,2.67e-06,0.164,0.0988,139.194,audio_features,7pBcryEKcUEaWHwAu1wUyP,spotify:track:7pBcryEKcUEaWHwAu1wUyP,https://api.spotify.com/v1/tracks/7pBcryEKcUEaWHwAu1wUyP,https://api.spotify.com/v1/audio-analysis/7pBcryEKcUEaWHwAu1wUyP,220733.0,4.0
Fried (She A Vibe),Future & Metro Boomin,Fried (She A Vibe)_Future & Metro Boomin,0.833,0.688,6.0,-4.581,0.0,0.197,0.00211,0.0,0.719,0.375,145.03,audio_features,28xOPIPw0joNPwYd0asIT5,spotify:track:28xOPIPw0joNPwYd0asIT5,https://api.spotify.com/v1/tracks/28xOPIPw0joNPwYd0asIT5,https://api.spotify.com/v1/audio-analysis/28xOPIPw0joNPwYd0asIT5,210173.0,4.0
Runnin Outta Time,Future & Metro Boomin,Runnin Outta Time_Future & Metro Boomin,0.777,0.463,10.0,-7.573,0.0,0.242,0.231,4.29e-06,0.366,0.18,105.998,audio_features,4q7y1JFDBJSBSLqXVgcI51,spotify:track:4q7y1JFDBJSBSLqXVgcI51,https://api.spotify.com/v1/tracks/4q7y1JFDBJSBSLqXVgcI51,https://api.spotify.com/v1/audio-analysis/4q7y1JFDBJSBSLqXVgcI51,205480.0,4.0
Everyday Hustle,"Future, Metro Boomin & Rick Ross","Everyday Hustle_Future, Metro Boomin & Rick Ross",0.557,0.704,6.0,-5.641,0.0,0.39,0.0595,0.0,0.676,0.378,179.494,audio_features,3Vg7nPYlOrCkcV1abKbRQ1,spotify:track:3Vg7nPYlOrCkcV1abKbRQ1,https://api.spotify.com/v1/tracks/3Vg7nPYlOrCkcV1abKbRQ1,https://api.spotify.com/v1/audio-analysis/3Vg7nPYlOrCkcV1abKbRQ1,226947.0,3.0
GTA,Future & Metro Boomin,GTA_Future & Metro Boomin,0.851,0.647,9.0,-6.336,1.0,0.171,0.00147,0.00251,0.498,0.318,126.016,audio_features,4XF9fk0STp9hx8xn5Suwpz,spotify:track:4XF9fk0STp9hx8xn5Suwpz,https://api.spotify.com/v1/tracks/4XF9fk0STp9hx8xn5Suwpz,https://api.spotify.com/v1/audio-analysis/4XF9fk0STp9hx8xn5Suwpz,233027.0,4.0
Ain't No Love,Future & Metro Boomin,Ain't No Love_Future & Metro Boomin,0.754,0.673,9.0,-6.341,1.0,0.131,0.0842,8.59e-05,0.0841,0.112,147.02,audio_features,72qABvaqn3TP6drO2tByA6,spotify:track:72qABvaqn3TP6drO2tByA6,https://api.spotify.com/v1/tracks/72qABvaqn3TP6drO2tByA6,https://api.spotify.com/v1/audio-analysis/72qABvaqn3TP6drO2tByA6,182840.0,4.0
Slow It Down,Benson Boone,Slow It Down_Benson Boone,0.432,0.583,8.0,-4.682,1.0,0.0687,0.174,0.0,0.0933,0.544,181.489,audio_features,6WO7IDGLakjO38lsvI2gHB,spotify:track:6WO7IDGLakjO38lsvI2gHB,https://api.spotify.com/v1/tracks/6WO7IDGLakjO38lsvI2gHB,https://api.spotify.com/v1/audio-analysis/6WO7IDGLakjO38lsvI2gHB,161831.0,4.0
WTFYM,Future & Metro Boomin,WTFYM_Future & Metro Boomin,0.81,0.587,5.0,-6.336,0.0,0.287,0.373,0.0,0.116,0.628,147.925,audio_features,1xwvjqcwflD2NEqRCNcCo2,spotify:track:1xwvjqcwflD2NEqRCNcCo2,https://api.spotify.com/v1/tracks/1xwvjqcwflD2NEqRCNcCo2,https://api.spotify.com/v1/audio-analysis/1xwvjqcwflD2NEqRCNcCo2,292600.0,4.0
