song,artist,pk,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
One Right Now,Post Malone & The Weeknd,One Right Now_Post Malone & The Weeknd,0.687,0.781,1.0,-4.806,1.0,0.053,0.0361,0.0,0.0755,0.688,97.014,audio_features,00Blm7zeNqgYLPtW6zg8cj,spotify:track:00Blm7zeNqgYLPtW6zg8cj,https://api.spotify.com/v1/tracks/00Blm7zeNqgYLPtW6zg8cj,https://api.spotify.com/v1/audio-analysis/00Blm7zeNqgYLPtW6zg8cj,193507.0,4.0
Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),Smokin Out The Window_Silk Sonic (Bruno Mars & Anderson .Paak),0.627,0.618,2.0,-8.529,1.0,0.0437,0.0558,0.0,0.351,0.848,82.03,audio_features,3xVZYkcuWalGudeKl861wb,spotify:track:3xVZYkcuWalGudeKl861wb,https://api.spotify.com/v1/tracks/3xVZYkcuWalGudeKl861wb,https://api.spotify.com/v1/audio-analysis/3xVZYkcuWalGudeKl861wb,197443.0,4.0
Escape Plan,Travis Scott,Escape Plan_Travis Scott,0.839,0.506,5.0,-6.714,0.0,0.133,0.00207,0.0,0.13,0.44,154.12,audio_features,4R67rQNSbbsR4TdUVOIdez,spotify:track:4R67rQNSbbsR4TdUVOIdez,https://api.spotify.com/v1/tracks/4R67rQNSbbsR4TdUVOIdez,https://api.spotify.com/v1/audio-analysis/4R67rQNSbbsR4TdUVOIdez,149610.0,4.0
No Love,Summer Walker & SZA,No Love_Summer Walker & SZA,0.707,0.618,1.0,-5.825,0.0,0.19,0.17,0.0,0.293,0.517,133.876,audio_features,08SB2OtZkaliju77WYEKxk,spotify:track:08SB2OtZkaliju77WYEKxk,https://api.spotify.com/v1/tracks/08SB2OtZkaliju77WYEKxk,https://api.spotify.com/v1/audio-analysis/08SB2OtZkaliju77WYEKxk,231498.0,4.0
Bitter,Summer Walker & Cardi B,Bitter_Summer Walker & Cardi B,0.638,0.375,0.0,-11.508,0.0,0.345,0.756,0.0,0.153,0.328,93.471,audio_features,5cwnxz6QPfbOf731UPqphs,spotify:track:5cwnxz6QPfbOf731UPqphs,https://api.spotify.com/v1/tracks/5cwnxz6QPfbOf731UPqphs,https://api.spotify.com/v1/audio-analysis/5cwnxz6QPfbOf731UPqphs,281112.0,4.0
Mafia,Travis Scott,Mafia_Travis Scott,0.855,0.492,0.0,-7.578,0.0,0.0483,0.0775,6.71e-06,0.111,0.385,109.975,audio_features,08F16baYbciTva9P4BvpiI,spotify:track:08F16baYbciTva9P4BvpiI,https://api.spotify.com/v1/tracks/08F16baYbciTva9P4BvpiI,https://api.spotify.com/v1/audio-analysis/08F16baYbciTva9P4BvpiI,240000.0,4.0
Throw It Away,Summer Walker,Throw It Away_Summer Walker,0.645,0.658,0.0,-8.517,0.0,0.0653,0.266,1.82e-05,0.128,0.53,139.968,audio_features,21DN44aYlSoyfOQcboC0IP,spotify:track:21DN44aYlSoyfOQcboC0IP,https://api.spotify.com/v1/tracks/21DN44aYlSoyfOQcboC0IP,https://api.spotify.com/v1/audio-analysis/21DN44aYlSoyfOQcboC0IP,151714.0,4.0
Reciprocate,Summer Walker,Reciprocate_Summer Walker,0.676,0.417,2.0,-7.551,1.0,0.113,0.0479,0.0,0.109,0.487,147.895,audio_features,5xGqh5mjKgOhp9TOlFeCcJ,spotify:track:5xGqh5mjKgOhp9TOlFeCcJ,https://api.spotify.com/v1/tracks/5xGqh5mjKgOhp9TOlFeCcJ,https://api.spotify.com/v1/audio-analysis/5xGqh5mjKgOhp9TOlFeCcJ,182037.0,4.0
Toxic,Summer Walker Featuring Lil Durk,Toxic_Summer Walker Featuring Lil Durk,0.421,0.92,10.0,-7.67,0.0,0.117,0.0515,0.874,0.0825,0.232,115.01,audio_features,33LpHZI6h0rloIfFlGxtOT,spotify:track:33LpHZI6h0rloIfFlGxtOT,https://api.spotify.com/v1/tracks/33LpHZI6h0rloIfFlGxtOT,https://api.spotify.com/v1/audio-analysis/33LpHZI6h0rloIfFlGxtOT,106185.0,3.0
Unloyal,Summer Walker & Ari Lennox,Unloyal_Summer Walker & Ari Lennox,0.805,0.51,4.0,-6.179,0.0,0.0569,0.0357,0.000469,0.108,0.36,127.983,audio_features,081Shn2hU3YxvQmGaCPegr,spotify:track:081Shn2hU3YxvQmGaCPegr,https://api.spotify.com/v1/tracks/081Shn2hU3YxvQmGaCPegr,https://api.spotify.com/v1/audio-analysis/081Shn2hU3YxvQmGaCPegr,207295.0,4.0
Constant Bulls**t,Summer Walker,Constant Bulls**t_Summer Walker,0.438,0.54,4.0,-9.456,0.0,0.0519,0.223,0.0,0.141,0.389,118.581,audio_features,1luvsaicSpNDRLgOtRZxWO,spotify:track:1luvsaicSpNDRLgOtRZxWO,https://api.spotify.com/v1/tracks/1luvsaicSpNDRLgOtRZxWO,https://api.spotify.com/v1/audio-analysis/1luvsaicSpNDRLgOtRZxWO,197094.0,4.0
You Don't Know Me,Summer Walker,You Don't Know Me_Summer Walker,0.501,0.264,11.0,-9.409,0.0,0.0414,0.71,0.0,0.102,0.495,75.28,audio_features,7gpIj4wMeTKptFxetrNKzY,spotify:track:7gpIj4wMeTKptFxetrNKzY,https://api.spotify.com/v1/tracks/7gpIj4wMeTKptFxetrNKzY,https://api.spotify.com/v1/audio-analysis/7gpIj4wMeTKptFxetrNKzY,200473.0,4.0
Insane,Summer Walker,Insane_Summer Walker,0.39,0.607,3.0,-8.056,1.0,0.303,0.632,0.000162,0.138,0.347,161.625,audio_features,3pcxxaUxAMSfz2zgetHydD,spotify:track:3pcxxaUxAMSfz2zgetHydD,https://api.spotify.com/v1/tracks/3pcxxaUxAMSfz2zgetHydD,https://api.spotify.com/v1/audio-analysis/3pcxxaUxAMSfz2zgetHydD,189906.0,4.0
Circus,Summer Walker,Circus_Summer Walker,0.506,0.601,0.0,-8.647,0.0,0.0975,0.638,0.0,0.129,0.648,74.111,audio_features,2vdposMtmLoanI0pflut4F,spotify:track:2vdposMtmLoanI0pflut4F,https://api.spotify.com/v1/tracks/2vdposMtmLoanI0pflut4F,https://api.spotify.com/v1/audio-analysis/2vdposMtmLoanI0pflut4F,132973.0,4.0
4th Baby Mama,Summer Walker,4th Baby Mama_Summer Walker,0.874,0.348,9.0,-9.643,1.0,0.0767,0.339,8.6e-06,0.116,0.151,111.98,audio_features,3WSBP6JEf4Y2aKD2swQ8AG,spotify:track:3WSBP6JEf4Y2aKD2swQ8AG,https://api.spotify.com/v1/tracks/3WSBP6JEf4Y2aKD2swQ8AG,https://api.spotify.com/v1/audio-analysis/3WSBP6JEf4Y2aKD2swQ8AG,225000.0,4.0
