date,rank,song,artist,pk
2019-04-27,1,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road_Lil Nas X Featuring Billy Ray Cyrus
2019-04-27,2,Wow.,Post Malone,Wow._Post Malone
2019-04-27,3,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse)_Post Malone & Swae Lee
2019-04-27,4,7 Rings,Ariana Grande,7 Rings_Ariana Grande
2019-04-27,5,Without Me,Halsey,Without Me_Halsey
2019-04-27,6,Sucker,Jonas Brothers,Sucker_Jonas Brothers
2019-04-27,7,Dancing With A Stranger,Sam Smith & Normani,Dancing With A Stranger_Sam Smith & Normani
2019-04-27,8,Boy With Luv,BTS Featuring Halsey,Boy With Luv_BTS Featuring Halsey
2019-04-27,9,Bad Guy,Billie Eilish,Bad Guy_Billie Eilish
2019-04-27,10,Please Me,Cardi B & Bruno Mars,Please Me_Cardi B & Bruno Mars
2019-04-27,11,Middle Child,J. Cole,Middle Child_J. Cole
2019-04-27,12,Happier,Marshmello & Bastille,Happier_Marshmello & Bastille
2019-04-27,13,Sweet But Psycho,Ava Max,Sweet But Psycho_Ava Max
2019-04-27,14,Thotiana,Blueface,Thotiana_Blueface
2019-04-27,15,Going Bad,Meek Mill Featuring Drake,Going Bad_Meek Mill Featuring Drake
2019-04-27,16,Shallow,Lady Gaga & Bradley Cooper,Shallow_Lady Gaga & Bradley Cooper
2019-04-27,17,Better,Khalid,Better_Khalid
2019-04-27,18,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,"Break Up With Your Girlfriend, I'm Bored_Ariana Grande"
2019-04-27,19,Eastside,"benny blanco, Halsey & Khalid","Eastside_benny blanco, Halsey & Khalid"
2019-04-27,20,Talk,Khalid,Talk_Khalid
2019-04-27,21,High Hopes,Panic! At The Disco,High Hopes_Panic! At The Disco
2019-04-27,22,A Lot,21 Savage,A Lot_21 Savage
2019-04-27,23,Girls Like You,Maroon 5 Featuring Cardi B,Girls Like You_Maroon 5 Featuring Cardi B
2019-04-27,24,Beautiful Crazy,Luke Combs,Beautiful Crazy_Luke Combs
2019-04-27,25,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,Close To Me_Ellie Goulding X Diplo Featuring Swae Lee
2019-04-27,26,Sicko Mode,Travis Scott,Sicko Mode_Travis Scott
2019-04-27,27,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,Racks In The Middle_Nipsey Hussle Featuring Roddy Ricch & Hit-Boy
2019-04-27,28,Sanguine Paradise,Lil Uzi Vert,Sanguine Paradise_Lil Uzi Vert
2019-04-27,29,Murder On My Mind,YNW Melly,Murder On My Mind_YNW Melly
2019-04-27,30,Be Alright,Dean Lewis,Be Alright_Dean Lewis
2019-04-27,31,Bury A Friend,Billie Eilish,Bury A Friend_Billie Eilish
2019-04-27,32,Drip Too Hard,Lil Baby & Gunna,Drip Too Hard_Lil Baby & Gunna
2019-04-27,33,Pure Water,Mustard & Migos,Pure Water_Mustard & Migos
2019-04-27,34,"Thank U, Next",Ariana Grande,"Thank U, Next_Ariana Grande"
2019-04-27,35,Envy Me,Calboy,Envy Me_Calboy
2019-04-27,36,Act Up,City Girls,Act Up_City Girls
2019-04-27,37,Look Back At It,A Boogie Wit da Hoodie,Look Back At It_A Boogie Wit da Hoodie
2019-04-27,38,When The Party's Over,Billie Eilish,When The Party's Over_Billie Eilish
2019-04-27,39,Better Now,Post Malone,Better Now_Post Malone
2019-04-27,40,You Say,Lauren Daigle,You Say_Lauren Daigle
2019-04-27,41,Here With Me,Marshmello Featuring CHVRCHES,Here With Me_Marshmello Featuring CHVRCHES
2019-04-27,42,Here Tonight,Brett Young,Here Tonight_Brett Young
2019-04-27,43,Baby Shark,Pinkfong,Baby Shark_Pinkfong
2019-04-27,44,Eyes On You,Chase Rice,Eyes On You_Chase Rice
2019-04-27,45,MIA,Bad Bunny Featuring Drake,MIA_Bad Bunny Featuring Drake
2019-04-27,46,God's Country,Blake Shelton,God's Country_Blake Shelton
2019-04-27,47,Youngblood,5 Seconds Of Summer,Youngblood_5 Seconds Of Summer
2019-04-27,48,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,Swervin_A Boogie Wit da Hoodie Featuring 6ix9ine
2019-04-27,49,Tequila,Dan + Shay,Tequila_Dan + Shay
2019-04-27,50,Money,Cardi B,Money_Cardi B
2019-04-27,51,Suge,DaBaby,Suge_DaBaby
2019-04-27,52,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,Who Do You Love_The Chainsmokers Featuring 5 Seconds Of Summer
2019-04-27,53,Look What God Gave Her,Thomas Rhett,Look What God Gave Her_Thomas Rhett
2019-04-27,54,Good As You,Kane Brown,Good As You_Kane Brown
2019-04-27,55,Whiskey Glasses,Morgan Wallen,Whiskey Glasses_Morgan Wallen
2019-04-27,56,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,Con Calma_Daddy Yankee & Katy Perry Featuring Snow
2019-04-27,57,Make It Sweet,Old Dominion,Make It Sweet_Old Dominion
2019-04-27,58,Close Friends,Lil Baby,Close Friends_Lil Baby
2019-04-27,59,Mixed Personalities,YNW Melly Featuring Kanye West,Mixed Personalities_YNW Melly Featuring Kanye West
2019-04-27,60,Worth It,YK Osiris,Worth It_YK Osiris
2019-04-27,61,Robbery,Juice WRLD,Robbery_Juice WRLD
2019-04-27,62,I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,I've Been Waiting_Lil Peep & iLoveMakonnen Featuring Fall Out Boy
2019-04-27,63,Miss Me More,Kelsea Ballerini,Miss Me More_Kelsea Ballerini
2019-04-27,64,Wish You Were Gay,Billie Eilish,Wish You Were Gay_Billie Eilish
2019-04-27,65,You Should See Me In A Crown,Billie Eilish,You Should See Me In A Crown_Billie Eilish
2019-04-27,66,Blue On Black,"Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May","Blue On Black_Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May"
2019-04-27,67,Don't Call Me Up,Mabel,Don't Call Me Up_Mabel
2019-04-27,68,SOS,Avicii Featuring Aloe Blacc,SOS_Avicii Featuring Aloe Blacc
2019-04-27,69,Rumor,Lee Brice,Rumor_Lee Brice
2019-04-27,70,Night Shift,Jon Pardi,Night Shift_Jon Pardi
2019-04-27,71,Walk Me Home,P!nk,Walk Me Home_P!nk
2019-04-27,72,Clout,Offset Featuring Cardi B,Clout_Offset Featuring Cardi B
2019-04-27,73,Kill This Love,BLACKPINK,Kill This Love_BLACKPINK
2019-04-27,74,Pop Out,Polo G Featuring Lil Tjay,Pop Out_Polo G Featuring Lil Tjay
2019-04-27,75,Cool,Jonas Brothers,Cool_Jonas Brothers
2019-04-27,76,That's A Rack,Lil Uzi Vert,That's A Rack_Lil Uzi Vert
2019-04-27,77,Girls Need Love,Summer Walker X Drake,Girls Need Love_Summer Walker X Drake
2019-04-27,78,Shot Clock,Ella Mai,Shot Clock_Ella Mai
2019-04-27,79,GIRL,Maren Morris,GIRL_Maren Morris
2019-04-27,80,Bad Liar,Imagine Dragons,Bad Liar_Imagine Dragons
2019-04-27,81,Love Ain't,Eli Young Band,Love Ain't_Eli Young Band
2019-04-27,82,Double Up,Nipsey Hussle Featuring Belly & DOM KENNEDY,Double Up_Nipsey Hussle Featuring Belly & DOM KENNEDY
2019-04-27,83,Undrunk,FLETCHER,Undrunk_FLETCHER
2019-04-27,84,Big Ole Freak,Megan Thee Stallion,Big Ole Freak_Megan Thee Stallion
2019-04-27,85,Put A Date On It,Yo Gotti Featuring Lil Baby,Put A Date On It_Yo Gotti Featuring Lil Baby
2019-04-27,86,Saturday Nights,Khalid & Kane Brown,Saturday Nights_Khalid & Kane Brown
2019-04-27,87,One That Got Away,Michael Ray,One That Got Away_Michael Ray
2019-04-27,88,My Strange Addiction,Billie Eilish,My Strange Addiction_Billie Eilish
2019-04-27,89,Faucet Failure,Ski Mask The Slump God,Faucet Failure_Ski Mask The Slump God
2019-04-27,90,Xanny,Billie Eilish,Xanny_Billie Eilish
2019-04-27,91,Ocean Eyes,Billie Eilish,Ocean Eyes_Billie Eilish
2019-04-27,92,Last Time That I Checc'd,Nipsey Hussle Featuring YG,Last Time That I Checc'd_Nipsey Hussle Featuring YG
2019-04-27,93,Talk You Out Of It,Florida Georgia Line,Talk You Out Of It_Florida Georgia Line
2019-04-27,94,I'm So Tired...,Lauv & Troye Sivan,I'm So Tired..._Lauv & Troye Sivan
2019-04-27,95,Make It Right,BTS Featuring Lauv,Make It Right_BTS Featuring Lauv
2019-04-27,96,"Hey Look Ma, I Made It",Panic! At The Disco,"Hey Look Ma, I Made It_Panic! At The Disco"
2019-04-27,97,This Is It,Scotty McCreery,This Is It_Scotty McCreery
2019-04-27,98,There Was This Girl,Riley Green,There Was This Girl_Riley Green
2019-04-27,99,Let Me Down Slowly,Alec Benjamin + Alessia Cara,Let Me Down Slowly_Alec Benjamin + Alessia Cara
2019-04-27,100,On My Way To You,Cody Johnson,On My Way To You_Cody Johnson
2019-04-20,1,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road_Lil Nas X Featuring Billy Ray Cyrus
2019-04-20,2,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse)_Post Malone & Swae Lee
2019-04-20,3,Wow.,Post Malone,Wow._Post Malone
2019-04-20,4,7 Rings,Ariana Grande,7 Rings_Ariana Grande
2019-04-20,5,Without Me,Halsey,Without Me_Halsey
2019-04-20,6,Sucker,Jonas Brothers,Sucker_Jonas Brothers
2019-04-20,7,Please Me,Cardi B & Bruno Mars,Please Me_Cardi B & Bruno Mars
2019-04-20,8,Better,Khalid,Better_Khalid
2019-04-20,9,Middle Child,J. Cole,Middle Child_J. Cole
2019-04-20,10,Happier,Marshmello & Bastille,Happier_Marshmello & Bastille
2019-04-20,11,Bad Guy,Billie Eilish,Bad Guy_Billie Eilish
2019-04-20,12,Dancing With A Stranger,Sam Smith & Normani,Dancing With A Stranger_Sam Smith & Normani
2019-04-20,13,Shallow,Lady Gaga & Bradley Cooper,Shallow_Lady Gaga & Bradley Cooper
2019-04-20,14,Eastside,"benny blanco, Halsey & Khalid","Eastside_benny blanco, Halsey & Khalid"
2019-04-20,15,Going Bad,Meek Mill Featuring Drake,Going Bad_Meek Mill Featuring Drake
2019-04-20,16,Sweet But Psycho,Ava Max,Sweet But Psycho_Ava Max
2019-04-20,17,Thotiana,Blueface,Thotiana_Blueface
2019-04-20,18,Talk,Khalid,Talk_Khalid
2019-04-20,19,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,"Break Up With Your Girlfriend, I'm Bored_Ariana Grande"
2019-04-20,20,High Hopes,Panic! At The Disco,High Hopes_Panic! At The Disco
2019-04-20,21,Beautiful Crazy,Luke Combs,Beautiful Crazy_Luke Combs
2019-04-20,22,A Lot,21 Savage,A Lot_21 Savage
2019-04-20,23,Girls Like You,Maroon 5 Featuring Cardi B,Girls Like You_Maroon 5 Featuring Cardi B
2019-04-20,24,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,Close To Me_Ellie Goulding X Diplo Featuring Swae Lee
2019-04-20,25,Sicko Mode,Travis Scott,Sicko Mode_Travis Scott
2019-04-20,26,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,Racks In The Middle_Nipsey Hussle Featuring Roddy Ricch & Hit-Boy
2019-04-20,27,Cool,Jonas Brothers,Cool_Jonas Brothers
2019-04-20,28,Murder On My Mind,YNW Melly,Murder On My Mind_YNW Melly
2019-04-20,29,Be Alright,Dean Lewis,Be Alright_Dean Lewis
2019-04-20,30,Bury A Friend,Billie Eilish,Bury A Friend_Billie Eilish
2019-04-20,31,"Thank U, Next",Ariana Grande,"Thank U, Next_Ariana Grande"
2019-04-20,32,Drip Too Hard,Lil Baby & Gunna,Drip Too Hard_Lil Baby & Gunna
2019-04-20,33,Pure Water,Mustard & Migos,Pure Water_Mustard & Migos
2019-04-20,34,Envy Me,Calboy,Envy Me_Calboy
2019-04-20,35,You Say,Lauren Daigle,You Say_Lauren Daigle
2019-04-20,36,Look Back At It,A Boogie Wit da Hoodie,Look Back At It_A Boogie Wit da Hoodie
2019-04-20,37,Better Now,Post Malone,Better Now_Post Malone
2019-04-20,38,Tequila,Dan + Shay,Tequila_Dan + Shay
2019-04-20,39,When The Party's Over,Billie Eilish,When The Party's Over_Billie Eilish
2019-04-20,40,Act Up,City Girls,Act Up_City Girls
2019-04-20,41,Kill This Love,BLACKPINK,Kill This Love_BLACKPINK
2019-04-20,42,Baby Shark,Pinkfong,Baby Shark_Pinkfong
2019-04-20,43,Youngblood,5 Seconds Of Summer,Youngblood_5 Seconds Of Summer
2019-04-20,44,Money,Cardi B,Money_Cardi B
2019-04-20,45,Here Tonight,Brett Young,Here Tonight_Brett Young
2019-04-20,46,Here With Me,Marshmello Featuring CHVRCHES,Here With Me_Marshmello Featuring CHVRCHES
2019-04-20,47,MIA,Bad Bunny Featuring Drake,MIA_Bad Bunny Featuring Drake
2019-04-20,48,Look What God Gave Her,Thomas Rhett,Look What God Gave Her_Thomas Rhett
2019-04-20,49,God's Country,Blake Shelton,God's Country_Blake Shelton
2019-04-20,50,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,Swervin_A Boogie Wit da Hoodie Featuring 6ix9ine
2019-04-20,51,Wish You Were Gay,Billie Eilish,Wish You Were Gay_Billie Eilish
2019-04-20,52,Eyes On You,Chase Rice,Eyes On You_Chase Rice
2019-04-20,53,Good As You,Kane Brown,Good As You_Kane Brown
2019-04-20,54,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,Who Do You Love_The Chainsmokers Featuring 5 Seconds Of Summer
2019-04-20,55,My Bad,Khalid,My Bad_Khalid
2019-04-20,56,Mixed Personalities,YNW Melly Featuring Kanye West,Mixed Personalities_YNW Melly Featuring Kanye West
2019-04-20,57,Saturday Nights,Khalid & Kane Brown,Saturday Nights_Khalid & Kane Brown
2019-04-20,58,Outta My Head,Khalid With John Mayer,Outta My Head_Khalid With John Mayer
2019-04-20,59,Robbery,Juice WRLD,Robbery_Juice WRLD
2019-04-20,60,Make It Sweet,Old Dominion,Make It Sweet_Old Dominion
2019-04-20,61,Worth It,YK Osiris,Worth It_YK Osiris
2019-04-20,62,Whiskey Glasses,Morgan Wallen,Whiskey Glasses_Morgan Wallen
2019-04-20,63,Suge,DaBaby,Suge_DaBaby
2019-04-20,64,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,Con Calma_Daddy Yankee & Katy Perry Featuring Snow
2019-04-20,65,Close Friends,Lil Baby,Close Friends_Lil Baby
2019-04-20,66,Miss Me More,Kelsea Ballerini,Miss Me More_Kelsea Ballerini
2019-04-20,67,I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,I've Been Waiting_Lil Peep & iLoveMakonnen Featuring Fall Out Boy
2019-04-20,68,You Should See Me In A Crown,Billie Eilish,You Should See Me In A Crown_Billie Eilish
2019-04-20,69,Monopoly,Ariana Grande & Victoria Monet,Monopoly_Ariana Grande & Victoria Monet
2019-04-20,70,There Was This Girl,Riley Green,There Was This Girl_Riley Green
2019-04-20,71,My Strange Addiction,Billie Eilish,My Strange Addiction_Billie Eilish
2019-04-20,72,Shot Clock,Ella Mai,Shot Clock_Ella Mai
2019-04-20,73,Walk Me Home,P!nk,Walk Me Home_P!nk
2019-04-20,74,Bad Liar,Imagine Dragons,Bad Liar_Imagine Dragons
2019-04-20,75,Double Up,Nipsey Hussle Featuring Belly & DOM KENNEDY,Double Up_Nipsey Hussle Featuring Belly & DOM KENNEDY
2019-04-20,76,Last Time That I Checc'd,Nipsey Hussle Featuring YG,Last Time That I Checc'd_Nipsey Hussle Featuring YG
2019-04-20,77,Undrunk,FLETCHER,Undrunk_FLETCHER
2019-04-20,78,Rumor,Lee Brice,Rumor_Lee Brice
2019-04-20,79,Night Shift,Jon Pardi,Night Shift_Jon Pardi
2019-04-20,80,Don't Call Me Up,Mabel,Don't Call Me Up_Mabel
2019-04-20,81,Girls Need Love,Summer Walker X Drake,Girls Need Love_Summer Walker X Drake
2019-04-20,82,GIRL,Maren Morris,GIRL_Maren Morris
2019-04-20,83,Put A Date On It,Yo Gotti Featuring Lil Baby,Put A Date On It_Yo Gotti Featuring Lil Baby
2019-04-20,84,Don't Pretend,Khalid x SAFE,Don't Pretend_Khalid x SAFE
2019-04-20,85,Calma,Pedro Capo X Farruko,Calma_Pedro Capo X Farruko
2019-04-20,86,Xanny,Billie Eilish,Xanny_Billie Eilish
2019-04-20,87,Bad Luck,Khalid,Bad Luck_Khalid
2019-04-20,88,One That Got Away,Michael Ray,One That Got Away_Michael Ray
2019-04-20,89,Pop Out,Polo G Featuring Lil Tjay,Pop Out_Polo G Featuring Lil Tjay
2019-04-20,90,This Is It,Scotty McCreery,This Is It_Scotty McCreery
2019-04-20,91,Faucet Failure,Ski Mask The Slump God,Faucet Failure_Ski Mask The Slump God
2019-04-20,92,All The Good Girls Go To Hell,Billie Eilish,All The Good Girls Go To Hell_Billie Eilish
2019-04-20,93,Right Back,Khalid Featuring A Boogie Wit da Hoodie,Right Back_Khalid Featuring A Boogie Wit da Hoodie
2019-04-20,94,Talk You Out Of It,Florida Georgia Line,Talk You Out Of It_Florida Georgia Line
2019-04-20,95,Inmortal,Aventura,Inmortal_Aventura
2019-04-20,96,Ocean Eyes,Billie Eilish,Ocean Eyes_Billie Eilish
2019-04-20,97,Dedication,Nipsey Hussle Featuring Kendrick Lamar,Dedication_Nipsey Hussle Featuring Kendrick Lamar
2019-04-20,98,Let Me Down Slowly,Alec Benjamin + Alessia Cara,Let Me Down Slowly_Alec Benjamin + Alessia Cara
2019-04-20,99,Big Ole Freak,Megan Thee Stallion,Big Ole Freak_Megan Thee Stallion
2019-04-20,100,Victory Lap,Nipsey Hussle Featuring Stacy Barthe,Victory Lap_Nipsey Hussle Featuring Stacy Barthe
2019-04-13,1,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road_Lil Nas X Featuring Billy Ray Cyrus
2019-04-13,2,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse)_Post Malone & Swae Lee
2019-04-13,3,7 Rings,Ariana Grande,7 Rings_Ariana Grande
2019-04-13,4,Wow.,Post Malone,Wow._Post Malone
2019-04-13,5,Without Me,Halsey,Without Me_Halsey
2019-04-13,6,Please Me,Cardi B & Bruno Mars,Please Me_Cardi B & Bruno Mars
2019-04-13,7,Bad Guy,Billie Eilish,Bad Guy_Billie Eilish
2019-04-13,8,Sucker,Jonas Brothers,Sucker_Jonas Brothers
2019-04-13,9,Happier,Marshmello & Bastille,Happier_Marshmello & Bastille
2019-04-13,10,Middle Child,J. Cole,Middle Child_J. Cole
2019-04-13,11,Shallow,Lady Gaga & Bradley Cooper,Shallow_Lady Gaga & Bradley Cooper
2019-04-13,12,Eastside,"benny blanco, Halsey & Khalid","Eastside_benny blanco, Halsey & Khalid"
2019-04-13,13,Thotiana,Blueface,Thotiana_Blueface
2019-04-13,14,Going Bad,Meek Mill Featuring Drake,Going Bad_Meek Mill Featuring Drake
2019-04-13,15,Dancing With A Stranger,Sam Smith & Normani,Dancing With A Stranger_Sam Smith & Normani
2019-04-13,16,Better,Khalid,Better_Khalid
2019-04-13,17,High Hopes,Panic! At The Disco,High Hopes_Panic! At The Disco
2019-04-13,18,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,"Break Up With Your Girlfriend, I'm Bored_Ariana Grande"
2019-04-13,19,Sweet But Psycho,Ava Max,Sweet But Psycho_Ava Max
2019-04-13,20,Sicko Mode,Travis Scott,Sicko Mode_Travis Scott
2019-04-13,21,Murder On My Mind,YNW Melly,Murder On My Mind_YNW Melly
2019-04-13,22,A Lot,21 Savage,A Lot_21 Savage
2019-04-13,23,Girls Like You,Maroon 5 Featuring Cardi B,Girls Like You_Maroon 5 Featuring Cardi B
2019-04-13,24,"Thank U, Next",Ariana Grande,"Thank U, Next_Ariana Grande"
2019-04-13,25,Bury A Friend,Billie Eilish,Bury A Friend_Billie Eilish
2019-04-13,26,Beautiful Crazy,Luke Combs,Beautiful Crazy_Luke Combs
2019-04-13,27,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,Close To Me_Ellie Goulding X Diplo Featuring Swae Lee
2019-04-13,28,Be Alright,Dean Lewis,Be Alright_Dean Lewis
2019-04-13,29,When The Party's Over,Billie Eilish,When The Party's Over_Billie Eilish
2019-04-13,30,Drip Too Hard,Lil Baby & Gunna,Drip Too Hard_Lil Baby & Gunna
2019-04-13,31,Wish You Were Gay,Billie Eilish,Wish You Were Gay_Billie Eilish
2019-04-13,32,You Say,Lauren Daigle,You Say_Lauren Daigle
2019-04-13,33,Pure Water,Mustard & Migos,Pure Water_Mustard & Migos
2019-04-13,34,Better Now,Post Malone,Better Now_Post Malone
2019-04-13,35,Xanny,Billie Eilish,Xanny_Billie Eilish
2019-04-13,36,Money,Cardi B,Money_Cardi B
2019-04-13,37,Look Back At It,A Boogie Wit da Hoodie,Look Back At It_A Boogie Wit da Hoodie
2019-04-13,38,Envy Me,Calboy,Envy Me_Calboy
2019-04-13,39,Talk,Khalid,Talk_Khalid
2019-04-13,40,Youngblood,5 Seconds Of Summer,Youngblood_5 Seconds Of Summer
2019-04-13,41,You Should See Me In A Crown,Billie Eilish,You Should See Me In A Crown_Billie Eilish
2019-04-13,42,Baby Shark,Pinkfong,Baby Shark_Pinkfong
2019-04-13,43,My Strange Addiction,Billie Eilish,My Strange Addiction_Billie Eilish
2019-04-13,44,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,Racks In The Middle_Nipsey Hussle Featuring Roddy Ricch & Hit-Boy
2019-04-13,45,MIA,Bad Bunny Featuring Drake,MIA_Bad Bunny Featuring Drake
2019-04-13,46,All The Good Girls Go To Hell,Billie Eilish,All The Good Girls Go To Hell_Billie Eilish
2019-04-13,47,Act Up,City Girls,Act Up_City Girls
2019-04-13,48,Robbery,Juice WRLD,Robbery_Juice WRLD
2019-04-13,49,ZEZE,Kodak Black Featuring Travis Scott & Offset,ZEZE_Kodak Black Featuring Travis Scott & Offset
2019-04-13,50,Tequila,Dan + Shay,Tequila_Dan + Shay
2019-04-13,51,Here Tonight,Brett Young,Here Tonight_Brett Young
2019-04-13,52,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,Swervin_A Boogie Wit da Hoodie Featuring 6ix9ine
2019-04-13,53,I Love You,Billie Eilish,I Love You_Billie Eilish
2019-04-13,54,Mixed Personalities,YNW Melly Featuring Kanye West,Mixed Personalities_YNW Melly Featuring Kanye West
2019-04-13,55,Here With Me,Marshmello Featuring CHVRCHES,Here With Me_Marshmello Featuring CHVRCHES
2019-04-13,56,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,Who Do You Love_The Chainsmokers Featuring 5 Seconds Of Summer
2019-04-13,57,Put A Date On It,Yo Gotti Featuring Lil Baby,Put A Date On It_Yo Gotti Featuring Lil Baby
2019-04-13,58,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,Con Calma_Daddy Yankee & Katy Perry Featuring Snow
2019-04-13,59,God's Country,Blake Shelton,God's Country_Blake Shelton
2019-04-13,60,Worth It,YK Osiris,Worth It_YK Osiris
2019-04-13,61,Eyes On You,Chase Rice,Eyes On You_Chase Rice
2019-04-13,62,Ilomilo,Billie Eilish,Ilomilo_Billie Eilish
2019-04-13,63,Listen Before I Go,Billie Eilish,Listen Before I Go_Billie Eilish
2019-04-13,64,Close Friends,Lil Baby,Close Friends_Lil Baby
2019-04-13,65,Double Up,Nipsey Hussle Featuring Belly & DOM KENNEDY,Double Up_Nipsey Hussle Featuring Belly & DOM KENNEDY
2019-04-13,66,Bad Liar,Imagine Dragons,Bad Liar_Imagine Dragons
2019-04-13,67,Whiskey Glasses,Morgan Wallen,Whiskey Glasses_Morgan Wallen
2019-04-13,68,Good As You,Kane Brown,Good As You_Kane Brown
2019-04-13,69,One That Got Away,Michael Ray,One That Got Away_Michael Ray
2019-04-13,70,Monopoly,Ariana Grande & Victoria Monet,Monopoly_Ariana Grande & Victoria Monet
2019-04-13,71,Miss Me More,Kelsea Ballerini,Miss Me More_Kelsea Ballerini
2019-04-13,72,Shot Clock,Ella Mai,Shot Clock_Ella Mai
2019-04-13,73,Make It Sweet,Old Dominion,Make It Sweet_Old Dominion
2019-04-13,74,Look What God Gave Her,Thomas Rhett,Look What God Gave Her_Thomas Rhett
2019-04-13,75,There Was This Girl,Riley Green,There Was This Girl_Riley Green
2019-04-13,76,Girls Need Love,Summer Walker X Drake,Girls Need Love_Summer Walker X Drake
2019-04-13,77,Undrunk,FLETCHER,Undrunk_FLETCHER
2019-04-13,78,I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,I've Been Waiting_Lil Peep & iLoveMakonnen Featuring Fall Out Boy
2019-04-13,79,8,Billie Eilish,8_Billie Eilish
2019-04-13,80,Walk Me Home,P!nk,Walk Me Home_P!nk
2019-04-13,81,Saturday Nights,Khalid & Kane Brown,Saturday Nights_Khalid & Kane Brown
2019-04-13,82,Last Time That I Checc'd,Nipsey Hussle Featuring YG,Last Time That I Checc'd_Nipsey Hussle Featuring YG
2019-04-13,83,Twerk,City Girls Featuring Cardi B,Twerk_City Girls Featuring Cardi B
2019-04-13,84,GIRL,Maren Morris,GIRL_Maren Morris
2019-04-13,85,Lovely,Billie Eilish & Khalid,Lovely_Billie Eilish & Khalid
2019-04-13,86,Calma,Pedro Capo X Farruko,Calma_Pedro Capo X Farruko
2019-04-13,87,Suge,DaBaby,Suge_DaBaby
2019-04-13,88,Night Shift,Jon Pardi,Night Shift_Jon Pardi
2019-04-13,89,This Is It,Scotty McCreery,This Is It_Scotty McCreery
2019-04-13,90,Rumor,Lee Brice,Rumor_Lee Brice
2019-04-13,91,I Can't Get Enough,"benny blanco, Tainy, Selena Gomez & J Balvin","I Can't Get Enough_benny blanco, Tainy, Selena Gomez & J Balvin"
2019-04-13,92,Don't Call Me Up,Mabel,Don't Call Me Up_Mabel
2019-04-13,93,Dedication,Nipsey Hussle Featuring Kendrick Lamar,Dedication_Nipsey Hussle Featuring Kendrick Lamar
2019-04-13,94,Ocean Eyes,Billie Eilish,Ocean Eyes_Billie Eilish
2019-04-13,95,Millionaire,Chris Stapleton,Millionaire_Chris Stapleton
2019-04-13,96,Talk You Out Of It,Florida Georgia Line,Talk You Out Of It_Florida Georgia Line
2019-04-13,97,Faucet Failure,Ski Mask The Slump God,Faucet Failure_Ski Mask The Slump God
2019-04-13,98,Girl Like You,Jason Aldean,Girl Like You_Jason Aldean
2019-04-13,99,Pure Cocaine,Lil Baby,Pure Cocaine_Lil Baby
2019-04-13,100,Pop Out,Polo G Featuring Lil Tjay,Pop Out_Polo G Featuring Lil Tjay
2019-04-06,1,7 Rings,Ariana Grande,7 Rings_Ariana Grande
2019-04-06,2,Wow.,Post Malone,Wow._Post Malone
2019-04-06,3,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse)_Post Malone & Swae Lee
2019-04-06,4,Without Me,Halsey,Without Me_Halsey
2019-04-06,5,Please Me,Cardi B & Bruno Mars,Please Me_Cardi B & Bruno Mars
2019-04-06,6,Happier,Marshmello & Bastille,Happier_Marshmello & Bastille
2019-04-06,7,Middle Child,J. Cole,Middle Child_J. Cole
2019-04-06,8,Thotiana,Blueface,Thotiana_Blueface
2019-04-06,9,Sucker,Jonas Brothers,Sucker_Jonas Brothers
